From	Protein names	Gene Names	Subcellular location	Transmembrane
F4JB65	Filament-like protein (DUF869)	AT3G19370	Unknown	
Q8LEK2	Golgi apparatus membrane protein-like protein ECHIDNA	ECH At1g09330 T31J12.5	Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein. Early endosome membrane; Multi-pass membrane protein.	"TRANSMEM 35..55; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 108..128; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 132..152; /note=""Helical""; /evidence=""ECO:0000255"""
O23722	Diphosphomevalonate decarboxylase MVD1, peroxisomal (EC 4.1.1.33) (Mevalonate 5-diphosphate decarboxylase 1) (AtMDD1) (AtMVD1)	MVD1 MDD1 MVD At2g38700	Peroxisome.	
O82811	High-affinity nitrate transporter 2.1 (AtNRT2:1) (Protein ACH1) (Protein LATERAL ROOT INITIATION 1)	NRT2.1 ACH1 LIN1 NRT2;1AT At1g08090 T6D22.17	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 69..89; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 105..125; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 129..149; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 151..171; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 193..213; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 226..246; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 271..290; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 310..330; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 352..372; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 383..403; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 410..430; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 441..461; /note=""Helical""; /evidence=""ECO:0000255"""
Q940U9	AT5g17440/K3M16_10 (LUC7 related protein)	At5g17440 AT5G17440 K3M16.10 K3M16_10	Nucleus	
Q9LTF2	40S ribosomal protein S10-3	RPS10C At5g52650 F6N7.14	Cytoplasm.	
Q9LW15	Cytochrome c oxidase subunit 5b-1, mitochondrial (AtCOX5b-1)	COX5B-1 At3g15640 MSJ11.4	Mitochondrion inner membrane.	
Q9T034	Phenylalanine--tRNA ligase alpha subunit, cytoplasmic (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	At4g39280 T22F8.180	Cytoplasm, cytosol.	
Q9SUR0	AT4G23670 protein (AT4g23670/F9D16_140) (Polyketide cyclase/dehydrase and lipid transport superfamily protein) (Putative major latex protein)	At4g23670 AT4G23670 F9D16.140 F9D16_140	Unknown	
Q9C5J3	Protein RRC1 (Reduced red-light responses in cry1cry2 background 1)	RRC1 At5g25060 T11H3.70	Nucleus speckle.	
Q9MAB4	AT3g05050/T12H1_1 (Protein kinase superfamily protein) (Putative cyclin-dependent protein kinase)	At3g05050 AT3G05050 T12H1.1 T12H1_1	Unknown	
Q67ZE1	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2 (At3BETAHSD/D2) (EC 1.1.1.418) (4alpha-carboxysterol-C3-dehydrogenase/C4-decarboxylase isoform 1-2) (Reticulon-like protein B19) (AtRTNLB19) (Sterol-4-alpha-carboxylate 3-dehydrogenase 2, decarboxylating)	3BETAHSD/D2 RTNLB19 At2g26260 T1D16.10	Endoplasmic reticulum membrane; Multi-pass membrane protein.	"TRANSMEM 398..418; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 424..444; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 486..506; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 507..527; /note=""Helical""; /evidence=""ECO:0000255"""
O48845	Cytochrome b5 isoform B (AtCb5-B) (Cytochrome b5 isoform 2) (Cytochrome b5 isoform E) (AtCb5-E)	CYTB5-B CB5-B CB5-E At2g32720 F24L7.14	Endoplasmic reticulum membrane; Single-pass membrane protein; Cytoplasmic side.	"TRANSMEM 107..127; /note=""Helical""; /evidence=""ECO:0000255"""
F4JZH9	Las1-like family protein	MXC9.18 MXC9_18 At5g12220 AT5G12220	Nucleus	
A0A1P8B591	Disease resistance protein (TIR-NBS-LRR class) family	At4g23510 AT4G23510 F16G20.210 F16G20_210	Chloroplast, Cytoplasm	
Q9LVJ1	Subtilisin-like protease SBT1.4 (EC 3.4.21.-) (Subtilase subfamily 1 member 4) (AtSBT1.4)	SBT1.4 At3g14067 MDC16.21	Secreted.	
Q8VYJ6	At2g30880/F7F1.9 (Pleckstrin homology (PH) domain-containing protein)	SWAP70 AtSWAP70 At2g30880 AT2G30880 F7F1.9 F7F1_9	Cytoplasm	
Q93YN1	Cold-responsive protein kinase 1 (EC 2.7.11.1)	CRPK1 At1g16670 F19K19.4	Cell membrane; Peripheral membrane protein; Cytoplasmic side.	
Q9SCL7	Acetylglutamate kinase, chloroplastic (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AtNAGK)	NAGK At3g57560 T8H10.160	Plastid, chloroplast stroma.	
Q9ZQP2	Putative peroxisomal acyl-coenzyme A oxidase 1.2 (EC 1.3.3.6)	ACX1.2 At2g35690 T20F21.12	Peroxisome.	
Q8L5Y9	Pantothenate kinase 2 (AtPANK2) (Pantothenic acid kinase 2) [Includes: Pantothenate kinase (EC 2.7.1.33); 4'-phosphopantetheine phosphatase (EC 3.1.3.-)]	PANK2 At4g32180 F10M6.180 F10N7.10	Cytoplasm	
O80503	Expressed protein (TRIGALACTOSYLDIACYLGLYCEROL-like protein)	AT2G44640 F16B22.13	Unknown	
O22860	60S ribosomal protein L38	RPL38A RPL38 At2g43460 T1O24.20; RPL38B At3g59540 T16L24.90	Cytoplasm	
Q9C586	At5g22020 (Calcium-dependent phosphotriesterase superfamily protein) (Putative strictosidine synthase-like)	AT5G22020	Vacuole.	
Q8VXV4	Chaperone protein dnaJ 16 (AtDjB16) (AtJ16) (Protein ARG1-LIKE 1) (AtARL1)	ATJ16 ARL1 B16 At1g24120 F3I6.4	Membrane; Peripheral membrane protein.	
Q9M5J9	Polygalacturonase inhibitor 1 (Polygalacturonase-inhibiting protein 1) (PGIP-1)	PGIP1 At5g06860 MOJ9_3	Secreted, cell wall. Membrane; Peripheral membrane protein.	
Q9SX33	Putative phospholipid-transporting ATPase 9 (AtALA9) (EC 7.6.2.1) (Aminophospholipid flippase 9)	ALA9 At1g68710 F24J5.6	Membrane; Multi-pass membrane protein.	"TRANSMEM 76..97; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 102..124; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 307..328; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 365..382; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 926..945; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 960..979; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1010..1032; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1046..1068; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1075..1095; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1113..1137; /note=""Helical""; /evidence=""ECO:0000255"""
Q9FKM3	AAA-ATPase At5g57480 (EC 3.6.1.-)	At5g57480 MUA2.5	Unknown	
O82381	Flavonol 3-O-glucosyltransferase UGT71C1 (EC 2.4.1.91) (Flavonol 7-O-beta-glucosyltransferase UGT71C1) (EC 2.4.1.237) (UDP-glycosyltransferase 71C1)	UGT71C1 At2g29750 T27A16.15	Unknown	
Q0WPK4	Protein PAT1 homolog (AtPAT1)	PAT1 At1g79090 YUP8H12R.29	Cytoplasm, P-body.	
Q9M1J1	Mitochondrial fission 1 protein A (FIS1 homolog A) (AtFIS1a) (Protein BIGYIN 1)	FIS1A BGY1 At3g57090 F24I3.1700	Mitochondrion outer membrane; Single-pass membrane protein. Peroxisome membrane; Single-pass membrane protein.	"TRANSMEM 142..162; /note=""Helical""; /evidence=""ECO:0000255"""
F4IY75	Biotin/lipoyl attachment domain-containing protein	At3g56130 AT3G56130	Chloroplast	
Q93VD3	CBL-interacting serine/threonine-protein kinase 23 (EC 2.7.11.1) (Protein LOW-K(+)-SENSITIVE 1) (SNF1-related kinase 3.23) (SOS2-like protein kinase PKS17)	CIPK23 LKS1 PKS17 SnRK3.23 At1g30270 F12P21.6	Cell membrane; Peripheral membrane protein. Associated to the plasma membrane when associated with AKT1, CBL1 and CBL9.	
Q9S7P9	SNAP25 homologous protein SNAP33 (AtSNAP33) (Snap25a) (Synaptosomal-associated protein SNAP25-like 1) (SNAP-25-like protein 1)	SNAP33 SNAP33B At5g61210 MAF19.21	Membrane. Plasma membrane, some endomembrane compartment and cell plate in dividing cells.	
Q9FY75	Potassium transporter 7 (AtHAK7) (AtPOT7)	POT7 HAK7 KUP7 At5g09400 T5E8_200	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 105..125; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 148..168; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 233..253; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 270..290; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 298..318; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 346..366; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 381..401; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 414..434; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 471..491; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 497..517; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 519..539; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 553..573; /note=""Helical""; /evidence=""ECO:0000255"""
O77727	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15	Unknown	
F4IP68	Vesicle docking protein	MAG2-interacting protein 3 MIP3 At2g42700 AT2G42700 F14N22.4	Unknown	
O49605	Peptidyl-prolyl cis-trans isomerase CYP21-1 (PPIase CYP21-1) (EC 5.2.1.8) (Cyclophilin of 21 kDa 1) (Cyclophilin-21-1)	CYP21-1 At4g34960 M4E13.20	Endoplasmic reticulum.	
Q9XIW1	Probable xyloglucan endotransglucosylase/hydrolase protein 5 (At-XTH5) (XTH-5) (EC 2.4.1.207)	XTH5 EXGT-A4 XTR12 At5g13870 MAC12.33	Secreted, cell wall. Secreted, extracellular space, apoplast.	
Q56X75	CASP-like protein 4D2 (AtCASPL4D2)	At2g39518 F12L6	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 15..35; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 61..81; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 98..118; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 151..171; /note=""Helical""; /evidence=""ECO:0000255"""
Q1JPN7	At2g31800 (Integrin-linked protein kinase family)	AT2G31800 F20M17.16 F20M17_16	Unknown	
Q39211	DNA-directed RNA polymerases II, IV and V subunit 3 (DNA-directed RNA polymerase II 36 kDa polypeptide A) (DNA-directed RNA polymerase II subunit RPB3-A) (RNA polymerase II subunit 3-A) (RNA polymerase II subunit B3-A)	NRPB3 NRPD3 NRPE3A RPB36A At2g15430 F26H6.5	Nucleus.	
F4J6A8	DnaJ and Myb-like DNA-binding domain-containing protein	At3g11450 AT3G11450	Nucleus	
Q9LK09	Syntaxin-32 (AtSYP32)	SYP32 At3g24350 K7M2.13	Golgi apparatus, cis-Golgi network membrane; Single-pass type IV membrane protein.	"TRANSMEM 326..346; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255"""
O80565	Outer envelope pore protein 37, chloroplastic (Chloroplastic outer envelope pore protein of 37 kDa) (AtOEP37)	OEP37 At2g43950 F6E13.8	Plastid, chloroplast outer membrane; Multi-pass membrane protein.	"TRANSMEM 77..86; /note=""Beta stranded; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 104..113; /note=""Beta stranded; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 130..137; /note=""Beta stranded; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 155..164; /note=""Beta stranded; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 170..178; /note=""Beta stranded; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 220..228; /note=""Beta stranded; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 231..240; /note=""Beta stranded; Name=7""; /evidence=""ECO:0000255""; TRANSMEM 242..250; /note=""Beta stranded; Name=8""; /evidence=""ECO:0000255""; TRANSMEM 258..267; /note=""Beta stranded; Name=9""; /evidence=""ECO:0000255""; TRANSMEM 270..279; /note=""Beta stranded; Name=10""; /evidence=""ECO:0000255""; TRANSMEM 287..296; /note=""Beta stranded; Name=11""; /evidence=""ECO:0000255""; TRANSMEM 317..326; /note=""Beta stranded; Name=12""; /evidence=""ECO:0000255"""
Q9LV27	Target of rapamycin complex subunit LST8-1 (TORC subunit LST8 homolog 1) (Lethal with SEC13 protein 8 homolog 1)	LST8-1 At3g18140 MRC8.12	Endosome.	
Q9FFU3	Inositol-1,4,5-trisphosphate 5-phosphatase	MBG8.14 MBG8_14 At5g54870 AT5G54870	Unknown	
O49545	Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1 (EC 2.7.11.1) (Protein BARELY ANY MERISTEM 1)	BAM1 At5g65700 F6H11.170 MPA24.5	Cell membrane; Single-pass type I membrane protein.	"TRANSMEM 641..661; /note=""Helical""; /evidence=""ECO:0000255"""
P39697	40S ribosomal protein S19, mitochondrial	RPS19 At5g47320 MQL5.18	Mitochondrion.	
Q9CAT7	Nascent polypeptide-associated complex subunit beta	At1g73230 T18K17.10	Nucleus	
Q9SHG6	Septin and tuftelin-interacting protein 1 homolog 1 (Nineteen complex-related protein 1 homolog) (AtNTR1) (Protein SPLICEOSOMAL TIMEKEEPER LOCUS 1)	STIPL1 NTR1 At1g17070 F20D23.23	Nucleus. Excluded from the nucleolus. Co-localizes with polymerase II.	
F4I421	Eukaryotic translation initiation factor 5B (Translation initiation factor IF-2)	AT1G76820 F28O16.19 F28O16_19	Unknown	
Q9FG01	Splicing factor SF3a60 homolog (Protein ATROPOS) (Splicing factor ATO)	ATO At5g06160 MBL20.3	Nucleus.	
Q9SRI1	Protein transport protein SEC13 homolog A (SEC13-like protein A)	SEC13A At3g01340 T22N4.3	Golgi apparatus. Endoplasmic reticulum.	
Q9FGD5	Emb|CAB16785.1 (Pyridoxal phosphate (PLP)-dependent transferases superfamily protein)	AT5G66950 K8A10.2 K8A10_2	Unknown	
F4JZC2	Cytosolic endo-beta-N-acetylglucosaminidase 1 (ENGase 1) (EC 3.2.1.96) (Endo-beta-N-acetyglucosaminidase 85A) (AtENGase85A)	ENGASE1 ENGASE85A At5g05460 K18I23.27	Cytoplasm, cytosol.	
Q9LMU2	Kunitz trypsin inhibitor 5 (AtKTI5) (Kunitz trypsin inhibitor 2) (AtKTI2)	KTI5 KTI2 At1g17860 F2H15.9	Endoplasmic reticulum.	
F4J447	Alpha/beta-Hydrolases superfamily protein	At3g23600 AT3G23600	Chloroplast	
Q9LT31	Vacuolar protein sorting-associated protein 9A (AtVPS9a)	VPS9A VPS9 At3g19770 MMB12.26	Cytoplasm	
Q9SG79	SUN domain-containing protein 2 (AtSUN2)	SUN2 At3g10730 T7M13.19	Nucleus inner membrane; Single-pass type II membrane protein. Cytoplasm, cytoskeleton, phragmoplast. Endoplasmic reticulum membrane; Single-pass type II membrane protein. Nucleus envelope. Dynamic localization during mitosis and meiosis, tightly coupled with nuclear envelope (NE) dynamics. Localized with the nuclear envelope during meiotic prophase I. NE re-formation during metaphase is temporally and spatially coordinated with plant-specific microtubule structures such as phragmoplasts. During anaphase, after NE breakdown (NEBD), predominantly localized with the endoplasmic reticulum, in the outside of the segregated chromosomes and not in between segregated chromosomes.	"TRANSMEM 106..128; /note=""Helical""; /evidence=""ECO:0000255"""
F4I4Y5	P-loop containing nucleoside triphosphate hydrolases superfamily protein	At1g50140 AT1G50140 F2J10.1 F2J10_1	Unknown	
Q9LNJ0	Probable cyclic nucleotide-gated ion channel 10 (CaM-regulated potassium ion channel) (Cyclic nucleotide- and calmodulin-regulated ion channel 10)	CNGC10 ACBK1 At1g01340 F6F3.13	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 82..102; /note=""Helical; Name=H1""; /evidence=""ECO:0000255""; TRANSMEM 117..137; /note=""Helical; Name=H2""; /evidence=""ECO:0000255""; TRANSMEM 171..191; /note=""Helical; Name=H3""; /evidence=""ECO:0000255""; TRANSMEM 205..225; /note=""Helical; Name=H4""; /evidence=""ECO:0000255""; TRANSMEM 244..264; /note=""Helical; Name=H5""; /evidence=""ECO:0000255""; TRANSMEM 367..387; /note=""Helical; Name=H6""; /evidence=""ECO:0000255"""
Q9SKB2	Leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1 (EC 2.7.10.1) (EC 2.7.11.1) (Protein EVERSHED) (Protein SUPPRESSOR OF BIR1-1)	SOBIR1 EVR At2g31880 F20M17.8	Cell membrane; Single-pass type I membrane protein.	"TRANSMEM 285..305; /note=""Helical""; /evidence=""ECO:0000255"""
Q9CAZ7	Protein STRICTOSIDINE SYNTHASE-LIKE 5 (AtSSL5) (Protein YELLOW-LEAF-SPECIFIC GENE 2)	SSL5 YLS2 At3g51430 F26O13.70	Vacuole.	
Q9LJY5	Cytochrome P450 705A22 (EC 1.14.-.-) (Protein GRAVITY PERSISTENCE SIGNAL 1)	CYP705A22 GPS1 At3g20130 MAL21.16	Membrane; Single-pass membrane protein.	"TRANSMEM 9..29; /note=""Helical""; /evidence=""ECO:0000255"""
Q94BT0	Sucrose-phosphate synthase 1 (EC 2.4.1.14) (Sucrose-phosphate synthase 1F) (AtSPS1F) (Sucrose-phosphate synthase 5.1) (AtSPS5.1) (UDP-glucose-fructose-phosphate glucosyltransferase)	SPS1 SPSA1 At5g20280 F5O24.170	Nucleus	
Q9C7S5	Tyrosine-sulfated glycopeptide receptor 1 (EC 2.7.11.1) (PSY1 receptor)	PSY1R PSYR1 At1g72300 T9N14.20	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 23..43; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 721..741; /note=""Helical""; /evidence=""ECO:0000255"""
Q94K91	Endoplasmic reticulum vesicle transporter protein (Uncharacterized protein At3g22280) (Uncharacterized protein At3g22290)	AT3G22280 At3g22280 At3g22290 AT3G22290	Unknown	"TRANSMEM 28..50; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 317..335; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
F4HXZ8	Transmembrane protein	At1g21370 AT1G21370 F24J8.26 F24J8_26	Unknown	"TRANSMEM 59..80; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q39016	Calcium-dependent protein kinase 11 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK2) (AtCDPK2)	CPK11 CDPK2 At1g35670 F15O4.8	Cytoplasm. Nucleus.	
O22467	Histone-binding protein MSI1 (CAF-1 p48 homolog) (Chromatin assembly factor 1 subunit MSI1) (CAF-1 subunit MSI1) (Protein MULTICOPY SUPPRESSOR OF IRA 1) (AtMSI1) (Protein medicis) (WD-40 repeat-containing protein MSI1)	MSI1 At5g58230 MCK7.10	Nucleus.	
Q9LPC6	Kinesin-like protein KIN-UB (AtKINUb) (Protein ARMADILLO REPEAT KINESIN2) (Protein ARMADILLO REPEAT-CONTAINING KINESIN 2)	KINUB ARK2 At1g01950 F22M8.8	Cytoplasm, cytoskeleton.	
Q43127	Glutamine synthetase, chloroplastic/mitochondrial (EC 6.3.1.2) (GS2) (Glutamate--ammonia ligase)	GLN2 GSLI At5g35630 MJE4.9	Plastid, chloroplast. Mitochondrion.	
Q9C9Y8	Probable inactive receptor kinase At3g08680	At3g08680 F17O14.15	Membrane; Single-pass membrane protein.	"TRANSMEM 260..280; /note=""Helical""; /evidence=""ECO:0000255"""
Q8GS71	Kinesin-like protein KIN-4A (AtKINESIN-4A) (Protein FRAGILE FIBER 1)	KIN4A FRA1 At5g47820 MCA23.16	Cytoplasm. Cytoplasm, cytoskeleton. Concentrated around the periphery of the cytoplasm.	
Q9SH87	Chaperone protein dnaJ-like protein (Uncharacterized protein At2g38000)	At2g38000 AT2G38000 T8P21.9 T8P21_9	Cytoplasm	
Q8RXC2	At2g27890 (Coiled-coil protein) (Uncharacterized protein At2g27890:At2g27900:At2g27910)	AT2G27890 AT2G27910 At2g27890:At2g27900:At2g27910 At2g27900 AT2G27900 T1E2.18 T1E2_18	Nucleus	
Q9SYI2	ABC transporter B family member 3 (ABC transporter ABCB.3) (AtABCB3) (P-glycoprotein 3) (Putative multidrug resistance protein 3)	ABCB3 MDR3 PGP3 At4g01820 T7B11.8	Membrane; Multi-pass membrane protein.	"TRANSMEM 22..42; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 73..93; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 149..169; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 172..192; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 252..272; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 281..301; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 661..681; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 706..726; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 797..817; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 888..908; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441""; TRANSMEM 923..943; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00441"""
Q38942	Protein RAE1 (RNA export factor 1)	RAE1 At1g80670 F23A5.2	Nucleus envelope. Nucleus, nuclear pore complex.	
Q39232	Sucrose transport protein SUC1 (AtSUC1) (Sucrose permease 1) (Sucrose-proton symporter 1)	SUC1 At1g71880 F17M19.3	Membrane; Multi-pass membrane protein.	"TRANSMEM 33..53; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 68..88; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 102..122; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 140..160; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 225..245; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 283..303; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 335..355; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 366..386; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 409..429; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 442..462; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 475..495; /note=""Helical""; /evidence=""ECO:0000255"""
Q9LZ57	60S ribosomal protein L36-3	RPL36C At5g02450 T22P11_40	Cytoplasm	
P68209	Succinate--CoA ligase [ADP-forming] subunit alpha-1, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha-1) (SCS-alpha-1)	At5g08300 F8L15_30	Mitochondrion.	
Q9FE79	Ras-related protein RABA4c (AtRABA4c) (Ras-related protein SMG1)	RABA4C SMG1 At5g47960 K16F13.4	Cell membrane; Lipid-anchor; Cytoplasmic side.	
Q93Y07	Galactolipid galactosyltransferase SFR2, chloroplastic (EC 2.4.1.184) (Galactolipid:galactolipid galactosyltransferase) (GGGT) (Protein SENSITIVE TO FREEZING 2) (AtSFR2)	SFR2 At3g06510 F5E6.16	Plastid, chloroplast. Plastid, chloroplast outer membrane; Single-pass type II membrane protein.	"TRANSMEM 4..24; /note=""Helical; Signal-anchor""; /evidence=""ECO:0000255"""
Q8L7L1	Sphingosine kinase 1 (EC 2.7.1.91)	SPHK1 At4g21540 F18E5.160	Vacuole membrane; Peripheral membrane protein. Associated with the tonoplast.	
Q8LCW9	60S acidic ribosomal protein P1-1	RPP1A At1g01100 T25K16.9	Cytoplasm	
Q9LK99	Ras-related protein RABA1g (AtRABA1g)	RABA1G At3g15060 K15M2.21	Cell membrane; Lipid-anchor; Cytoplasmic side.	
Q9SN68	Ras-related protein RABF2b (AtRABF2b) (Ras-related protein Ara-7) (Ras-related protein Rab5B) (AtRab5B)	RABF2B ARA-7 RAB5B At4g19640 F24J7.190	Early endosome membrane; Lipid-anchor. Endosome membrane; Lipid-anchor. Prevacuolar compartment membrane; Lipid-anchor. Endosome, multivesicular body membrane; Lipid-anchor. Cell membrane; Lipid-anchor. Cytoplasm. Strong co-localization with VPS3 and VPS18 in cytoplasmic puncta.	
Q8LEQ0	60S acidic ribosomal protein P1-3	RPP1C At5g47700 MCA23.2	Unknown	
Q94KE1	Probable methyltransferase PMT10 (EC 2.1.1.-)	At1g77260 T14N5.11 T14N5.19	Golgi apparatus membrane; Single-pass type II membrane protein.	"TRANSMEM 16..36; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q94C69	Cold shock domain-containing protein 3 (AtCSP3)	CSP3 At2g17870 T13L16.11	Nucleus. Cytoplasm.	
Q9ASW5	Alpha/beta-Hydrolases superfamily protein (At2g18360/T30D6.13) (Expressed protein)	At2g18360 AT2G18360 T30D6.13 T30D6_13	Chloroplast	
Q39208	Delta(7)-sterol-C5(6)-desaturase 1 (EC 1.14.19.20) (Delta(7)-sterol-C5-desaturase 1) (Delta-7-C-5 sterol desaturase 1) (Protein DWARF 7) (Protein STEROL 1)	STE1 DWF7 At3g02580 F16B3.21	Endoplasmic reticulum membrane; Multi-pass membrane protein.	"TRANSMEM 46..66; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 123..143; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 193..213; /note=""Helical""; /evidence=""ECO:0000255"""
Q9SG80	Alpha-L-arabinofuranosidase 1 (AtASD1) (EC 3.2.1.55) (Beta-D-xylosidase) (EC 3.2.1.-)	ASD1 ARAF ARAF1 At3g10740 T7M13.18	Secreted, extracellular space, extracellular matrix.	
Q9SJ81	Fasciclin-like arabinogalactan protein 7	FLA7 At2g04780 F28I8.18	Cell membrane; Lipid-anchor, GPI-anchor.	
Q94C49	Probable protein S-acyltransferase 13 (EC 2.3.1.225) (Probable palmitoyltransferase At4g22750) (Zinc finger DHHC domain-containing protein At4g22750)	PAT13 At4g22750 T12H17.140 T12H17.2	Cell membrane; Multi-pass membrane protein. Cytoplasmic vesicle membrane; Multi-pass membrane protein.	"TRANSMEM 17..37; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 56..76; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 166..186; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 204..224; /note=""Helical""; /evidence=""ECO:0000255"""
Q8L7R3	Lysophospholipid acyltransferase LPEAT1 (EC 2.3.1.23) (EC 2.3.1.51) (EC 2.3.1.n6) (EC 2.3.1.n7) (Lysophosphatidylethanolamine acyltransferase 1) (AtLPEAT1)	LPEAT1 At1g80950 F23A5.31	Endoplasmic reticulum membrane; Single-pass membrane protein.	"TRANSMEM 66..86; /note=""Helical""; /evidence=""ECO:0000255"""
