Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohC C) / (WT C)	Abundance Ratio (log2): (rbohC C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohC C) / (WT C)	Abundance Ratio P-Value: (rbohC C) / (WT C)	Abundances (Grouped): rbohC C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q9FR95	ath:AT4G15340; O23388; Q08J21; Q9FR95	Arabidiol synthase OS=Arabidopsis thaliana OX=3702 GN=PEN1 PE=1 SV=1	9.81	22	6	5	0.122	-3.03	6.83994976170497E-09	7.38553884715998E-10	3730323.15213103	30570385.1164858	25.93	25.33	3730323.15213103	4135165.92420337	2431826.89149921	30570385.1164858	23984537.5493918	39849869.7382634	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	6
Q0WL52	ath:AT4G37590; F4JS42; Q0WL52; Q940F9; Q9SZF2	BTB/POZ domain-containing protein NPY5 OS=Arabidopsis thaliana OX=3702 GN=NPY5 PE=2 SV=2	16.635	66	6	5	13.422	3.75	7.71206034050198E-09	8.33108471098853E-10	18623422.5509166	1387526.54804542	18.22	23.62	19741733.9306342	18623422.5509166	13783720.160674	1122144.76408131	1387526.54804542	1795076.49072529	High	High	Peak Found	Peak Found	High	Not Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	10
Q9SIL6	ath:AT2G20530; Q9SIL6	Prohibitin-6, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PHB6 PE=1 SV=1	116.068	634	10	6	0.216	-2.21	9.42354459957902E-09	1.02083275166365E-09	31970233.5363491	148214790.505341	17.73	17.12	31970233.5363491	40451753.5201605	28887338.335034	186168908.199942	148214790.505341	134522780.823197	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4K1S1	F4K1S1	Structural maintenance of chromosomes protein OS=Arabidopsis thaliana OX=3702 GN=SMC3 PE=1 SV=1	181.614	601	39	39	0.228	-2.13	1.05628382446509E-08	1.14478027057885E-09	58109633.2964165	255139900.103795	5.61	33.25	55639376.3229355	62153707.2575284	58109633.2964165	255139900.103795	140441358.400329	281700525.250135	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9ZSU4	ath:AT4G25820; Q9ZSU4	Xyloglucan endotransglucosylase/hydrolase protein 14 OS=Arabidopsis thaliana OX=3702 GN=XTH14 PE=1 SV=1	32.786	69	6	6	17.288	4.11	1.69229209176115E-08	1.83662240971216E-09	12191951.885488	705235.697857776	52.44	101.8	12521665.2282925	12191951.885488	3745344.45886627	2636410.7801188	705235.697857776	318088.968854109	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	9
Q8H1F1	A0A178VFN2; Q8H1F1	AP-5 complex subunit zeta-1 OS=Arabidopsis thaliana OX=3702 GN=At3g15160 PE=1 SV=1	40.674	163	10	10	0.123	-3.02	1.69323058340093E-08	1.83849091506261E-09	4847885.11548236	39363121.053624	19	35.26	6092588.25981747	4847885.11548236	4205953.99113204	56448193.5021331	39363121.053624	27600627.5751206	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8B137	A0A1P8B137	Integrin-linked protein kinase family OS=Arabidopsis thaliana OX=3702 GN=At2g43850 PE=1 SV=1	21.082	105	8	6	7.283	2.86	2.20891924668692E-08	2.40839947984739E-09	44233246.0093047	6073080.79703052	16.43	19.69	33630946.6135824	44233246.0093047	46316751.4038799	6073080.79703052	4448907.45214427	6608183.75878706	High	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	13
Q9LDH3	ath:AT1G12500; Q9LDH3	Probable sugar phosphate/phosphate translocator At1g12500 OS=Arabidopsis thaliana OX=3702 GN=At1g12500 PE=1 SV=1	9.882	29	3	3	57.017	5.83	2.37616184305049E-08	2.59193799756474E-09	369400.704893275	6478.83662246527	123.95	170.23	1494511.84249709	10272.2203071261	369400.704893275	870233.469330227	6478.83662246527	3617.70615757116	High	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	High	Peak Found	High	Not Found	High	High	High	Peak Found	Peak Found	High	High	High	9
Q93Z53	ath:AT1G32440; Q93Z53; Q9LQL3	Plastidial pyruvate kinase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PKP3 PE=1 SV=1	91.797	267	15	13	4.489	2.17	2.37973168236467E-08	2.59702659377581E-09	248949883.109468	55453878.1952923	13.34	36.71	303531296.051259	237861701.449896	248949883.109468	55453878.1952923	83558833.700239	40315357.2869998	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q941R7	ath:AT1G70880; Q941R7	Major latex-like protein OS=Arabidopsis thaliana OX=3702 GN=MLP15 PE=1 SV=1	24.231	50	3	3	12.986	3.7	2.49757578715815E-08	2.72813860391352E-09	17874213.7147144	1376472.25359398	2.99	42.79	17461194.7884452	17874213.7147144	18525038.6402504	611069.670083228	1376472.25359398	1571336.46432848	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	Peak Found	11
Q9LR65	ath:AT1G03590; Q8SBC2; Q9LR65	Probable protein phosphatase 2C 1 OS=Arabidopsis thaliana OX=3702 GN=PPC6-6 PE=1 SV=1	19.444	83	6	4	8.52	3.09	2.67222857553802E-08	2.92025581494215E-09	32604125.8201766	3826620.16806909	15.35	10.95	32604125.8201766	38205119.2874761	28105163.3913042	4440849.19873902	3826620.16806909	3603913.00435468	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	High	High	High	High	High	High	10
Q9MAB2	A0A178VFF8; ath:AT3G05070; Q9MAB2	At3g05070 OS=Arabidopsis thaliana OX=3702 GN=At3g05070 PE=1 SV=1	34.265	103	7	7	0.157	-2.67	2.8294128486839E-08	3.09344971860526E-09	10729498.2599208	68438336.4144961	7.96	7.5	10271906.9587417	11962461.8693929	10729498.2599208	75641656.7519417	68438336.4144961	65445024.6200788	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
O22873	ath:AT2G40620; O22873; O23726	bZIP transcription factor 18 OS=Arabidopsis thaliana OX=3702 GN=BZIP18 PE=1 SV=1	64.132	155	10	10	6.58	2.72	3.22509385318156E-08	3.53738771607937E-09	48339076.4873981	7346920.47268427	9.36	72.3	56461914.3678345	48339076.4873981	48071818.8933223	7346920.47268427	5935915.63147811	20828967.2739396	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	17
Q38856	ath:AT4G19690; Q38856; Q8LBP0	Fe(2+) transport protein 1 OS=Arabidopsis thaliana OX=3702 GN=IRT1 PE=1 SV=2	44.654	146	3	3	8.12	3.02	3.54042916039443E-08	3.88503496040471E-09	31534513.5814949	3883770.07200304	59.55	97.7	10225687.0217105	31534513.5814949	43783508.2834977	1576518.51330103	3883770.07200304	12880564.75025	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	16
Q9SE96	ath:AT1G28200; Q9SE96	GEM-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=FIP1 PE=1 SV=1	51.384	310	10	10	0.209	-2.26	7.5786763400242E-08	8.33536462074846E-09	20334238.8468496	97471383.6081453	6.95	17.03	20334238.8468496	22710756.3295303	20049173.7854239	97471383.6081453	111655741.876215	79039173.0476712	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8VY27	ath:AT3G55150; Q8VY27; Q9M3D4	Exocyst complex component EXO70H1 OS=Arabidopsis thaliana OX=3702 GN=EXO70H1 PE=1 SV=1	17.41	40	6	5	34.586	5.11	8.33704519846519E-08	9.17363740526866E-09	4470563.17816185	129260.2375553	5.26	97.35	4449773.3255884	4470563.17816185	4878849.26901665	40449.6686183392	389744.344810062	129260.2375553	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	8
Q84VZ5	ath:AT5G19240; Q84VZ5; Q8H7A4	Uncharacterized GPI-anchored protein At5g19240 OS=Arabidopsis thaliana OX=3702 GN=At5g19240 PE=2 SV=2	26.353	139	4	4	8.078	3.01	1.00464797009314E-07	1.10949527343251E-08	32834419.1440553	4064701.37874807	16.25	50.1	35460472.338386	25635277.4602012	32834419.1440553	8149832.33705141	3331694.77558327	4064701.37874807	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O80585	ath:AT2G44160; O80585; Q56ZL2; Q94JZ1; Q9SE59; Q9SUJ0	Methylenetetrahydrofolate reductase 2 OS=Arabidopsis thaliana OX=3702 GN=MTHFR2 PE=1 SV=2	157.352	739	30	23	4.154	2.05	1.24416345301063E-07	1.37463167515506E-08	225219475.813315	54217482.9903185	10.74	18.36	185927677.659495	225219475.813315	225609693.512038	56838628.0851767	54217482.9903185	39705402.8917661	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q93ZR3	A0A178W5N7; O64496; Q93ZR3	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=PRP39 PE=1 SV=1	46.605	148	12	12	0.178	-2.49	1.64794825857704E-07	1.82820423244578E-08	10837454.4670413	60959534.4881426	18.67	56.94	11767543.6520604	10837454.4670413	8092423.6038003	41420329.0885343	60959534.4881426	123485222.940994	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	15
Q9LTS6	ath:AT5G56940; Q8LDI6; Q9LTS6	30S ribosomal protein S16-2, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=RPS16-2 PE=1 SV=1	66.687	345	7	7	4.436	2.15	2.40436375731566E-07	2.66977191465401E-08	142572749.726555	32142809.0611523	47.59	10.14	142572749.726555	131255330.926669	292111421.048576	32364743.9161447	26904997.4090235	32142809.0611523	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q4PSX0	ath:AT1G69900; Q4PSX0	Actin cross-linking protein OS=Arabidopsis thaliana OX=3702 GN=At1g69900 PE=1 SV=1	34.348	112	8	8	0.144	-2.79	2.45815115732016E-07	2.73073064160911E-08	4060215.54690317	28102634.8571844	34.24	19.4	6746126.56970746	3719557.72901194	4060215.54690317	28102634.8571844	30775002.1431855	20819166.3960223	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FKS8	ath:AT5G40780; O24405; Q3E8J8; Q9FKS8	Lysine histidine transporter 1 OS=Arabidopsis thaliana OX=3702 GN=LHT1 PE=1 SV=1	65.524	198	8	7	0.214	-2.22	3.01831604232342E-07	3.36058680883156E-08	21405414.8754925	99831469.4905235	6.23	22	21381101.1982545	23789710.7951243	21405414.8754925	122473346.786489	99831469.4905235	78385091.2241399	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q42534	ath:AT1G53830; Q42534; Q9SSB0	Pectinesterase 2 OS=Arabidopsis thaliana OX=3702 GN=PME2 PE=2 SV=2	59.126	180	8	4	0.173	-2.53	3.21902318496221E-07	3.58728551308474E-08	6967495.09770702	40222327.3180953	37.52	22.49	9474523.05160309	6967495.09770702	4289507.55435989	35488384.2869834	40222327.3180953	54220729.1349483	High	Peak Found	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	16
Q5XV72	Q5XV72	Caldesmon-like protein OS=Arabidopsis thaliana OX=3702 GN=At4g25070 PE=1 SV=1	96.911	222	19	19	5.795	2.53	4.43680818605115E-07	4.9510690214305E-08	55194678.1832055	9525024.79376521	40.84	40.66	90139409.9158902	55194678.1832055	40858382.1689612	12837836.0277231	5343653.60385892	9525024.79376521	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	17
Q9FKM2	ath:AT5G57490; Q9FKM2	Mitochondrial outer membrane protein porin 4 OS=Arabidopsis thaliana OX=3702 GN=VDAC4 PE=1 SV=1	119.346	527	15	15	4.104	2.04	4.59200489690213E-07	5.12655935480666E-08	146388219.130075	35668246.5366704	21.57	47.01	146388219.130075	105687520.698276	164031175.697902	24789662.1410164	35668246.5366704	62147417.7696519	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SIU2	ath:AT2G13540; Q8VZH3; Q9LKN6; Q9SIU2	Nuclear cap-binding protein subunit 1 OS=Arabidopsis thaliana OX=3702 GN=ABH1 PE=1 SV=2	33.5	55	12	12	7.123	2.83	4.92521090936944E-07	5.50102619012449E-08	24581409.7502685	3451105.74980557	9.22	114.5	24581409.7502685	24294116.676466	28553377.7751644	815896.320417809	3451105.74980557	13973222.688257	High	Peak Found	Peak Found	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	Peak Found	High	High	Peak Found	12
Q7X6P3	ath:AT3G45890; Q7X6P3; Q9LZU1	Protein root UVB sensitive 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RUS1 PE=1 SV=1	8.704	14	3	3	0.044	-4.49	6.1005838798568E-07	6.82300129728475E-08	285757.549727124	6422780.30730816	16.34	74.43	254450.425466364	320916.646440601		6422780.30730816	8758053.32074019	956751.913977994	High	Peak Found	Not Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	6
F4JXW2	ath:AT5G11500; F4JXW2	Coiled-coil protein OS=Arabidopsis thaliana OX=3702 GN=At5g11500 PE=1 SV=1	55.776	228	6	6	0.151	-2.73	6.66506904097858E-07	7.46102302162654E-08	4614444.66324513	30529882.7704051	17.3	12.35	5676968.18660669	4614444.66324513	4047773.09117109	33843514.3388094	26388375.8156158	30529882.7704051	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9XI29	A8MRG0; ath:AT1G15400; Q3EDC0; Q9XI29	Uncharacterized protein At1g15400 OS=Arabidopsis thaliana OX=3702 GN=At1g15400 PE=1 SV=2	17.558	111	4	3	5.732	2.52	6.77614206648165E-07	7.5887620853976E-08	67733385.3465937	11815950.2977245	25.22	18.19	67733385.3465937	45970737.3748834	77299849.4944455	11815950.2977245	9922338.85941467	14276524.4689088	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
F4IQ05	F4IQ05	Peroxidase OS=Arabidopsis thaliana OX=3702 GN=At2g37130 PE=1 SV=1	88.778	327	11	11	0.23	-2.12	9.28138497860808E-07	1.0408420281216E-07	20658355.2500799	89827654.6257919	37.59	10.29	36506596.4625739	20658355.2500799	19268766.7350659	86621666.0382277	104687884.586961	89827654.6257919	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8LDQ4	ath:AT5G53000; Q8LDQ4; Q9LVV2; Q9XHD0	PP2A regulatory subunit TAP46 OS=Arabidopsis thaliana OX=3702 GN=TAP46 PE=1 SV=2	9.254	21	5	5	0.057	-4.14	1.2980428776561E-06	1.46283131385871E-07	455324.770417584	8024581.31987155	30.26	35.17	341102.002961793	455324.770417584	626209.373550749	10345436.4500653	6224377.83751742		High	High	High	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Not Found	9
Q8GXY6	ath:AT1G05270; Q8GXY6	At1g05270 OS=Arabidopsis thaliana OX=3702 GN=YUP8H12.12 PE=1 SV=1	102.466	512	10	10	0.241	-2.06	1.38776931998299E-06	1.56534193163083E-07	25189962.449446	104696761.014047	7.66	43.85	25189962.449446	22614267.7703478	26304535.2796102	104696761.014047	151598803.496624	59335372.4421996	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LMS7	ath:AT1G18070; Q9LMS7	T10F20.8 protein OS=Arabidopsis thaliana OX=3702 GN=At1g18070 PE=1 SV=1	85.936	407	19	19	0.251	-1.99	1.57930328354447E-06	1.78455483723639E-07	31846087.6090806	126724952.241196	12.89	36.29	35453316.2426075	27339682.9488993	31846087.6090806	158743825.686449	126724952.241196	72952601.4192612	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9XI07	ath:AT1G21700; Q9XI07	SWI/SNF complex subunit SWI3C OS=Arabidopsis thaliana OX=3702 GN=SWI3C PE=1 SV=1	70.734	328	12	12	0.206	-2.28	1.86821252265179E-06	2.11570074348799E-07	9349650.99126603	45450492.2251015	3.88	20.95	9381056.92173461	9349650.99126603	8750231.70571928	45450492.2251015	58432882.9159565	38845551.0749861	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LYD8	ath:AT5G11540; Q9LYD8	L-gulonolactone oxidase 3 OS=Arabidopsis thaliana OX=3702 GN=GULLO3 PE=1 SV=1	56.652	190	11	11	5.6	2.49	2.2157575860586E-06	2.51484759905551E-07	39448445.3476897	7044722.10549107	24.62	36.29	47665050.4322721	39448445.3476897	28707689.277687	7044722.10549107	11707643.107513	6091762.52841069	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8B454	A0A1P8B454	Myosin OS=Arabidopsis thaliana OX=3702 GN=XI-I PE=1 SV=1	175.311	805	37	32	4.03	2.01	2.25241354154823E-06	2.5609741838295E-07	113835526.96738	28243643.7708755	25.12	16.67	75534487.935627	113835526.96738	126225417.790103	33471440.8122895	23964546.3329143	28243643.7708755	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
C0LGJ9	ath:AT2G02780; C0LGJ9; O64505; Q84WD0	Probable LRR receptor-like serine/threonine-protein kinase At2g02780 OS=Arabidopsis thaliana OX=3702 GN=At2g02780 PE=1 SV=1	18.414	56	8	8	0.143	-2.8	2.42974324146753E-06	2.76503585583399E-07	3270281.69510788	22806826.202874	23.29	83.87	2246576.06275938	3606060.82035174	3270281.69510788	526171.091976427	24303728.7264022	22806826.202874	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	11
Q8VYK6	ath:AT5G58420; Q8VYK6; Q944M1; Q9FGI0	40S ribosomal protein S4-3 OS=Arabidopsis thaliana OX=3702 GN=RPS4D PE=2 SV=2	253.614	2602	24	2	0.219	-2.19	2.63638531438853E-06	3.00284035859022E-07	11371274.1839927	51914019.6174318	68.18	29.23	15167435.0133413	11371274.1839927	2374035.97787076	55523049.0503195	51914019.6174318	30626718.1192832	High	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	15
Q9FKN5	ath:AT5G17910; Q9FKN5	Cardiomyopathy-associated protein OS=Arabidopsis thaliana OX=3702 GN=MPI7.8 PE=1 SV=1	60.003	273	10	10	0.239	-2.07	2.67331183381817E-06	3.04624158564692E-07	20669807.1865765	86595028.3665318	6.45	23.34	20875091.1845879	20669807.1865765	18541875.0770756	86595028.3665318	92684232.885703	58092579.0417922	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A2H1ZEJ0	A0A2H1ZEJ0; ath:AT3G45850	P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g45850 PE=1 SV=1	177.221	642	41	37	3.717	1.89	2.80070743549603E-06	3.19422081895837E-07	153579296.308802	41314828.0971611	10.66	8.7	134785468.550542	153579296.308802	166984635.80818	46986355.7120563	39976072.4017299	41314828.0971611	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1I9LMD3	A0A1I9LMD3	Dicer-like 3 OS=Arabidopsis thaliana OX=3702 GN=DCL3 PE=1 SV=1	7.103	10	5	5	19.141	4.26	3.17291162489251E-06	3.62987078617039E-07	5466090.22067937	285567.111307738	9.48	3.01	5466090.22067937	5062265.67616765	6104950.96924379	291711.253415232	279552.379642232		High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	Peak Found	6
O22287	ath:AT2G39770; O22287; Q9C5B8	Mannose-1-phosphate guanylyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=CYT1 PE=1 SV=1	84.112	351	14	9	3.558	1.83	3.51219757675298E-06	4.02154644474351E-07	192990363.64353	54243598.9075526	7.47	14.86	170239190.893914	195467063.062569	192990363.64353	45546442.9123649	61498909.0887366	54243598.9075526	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8ARR3	A0A1P8ARR3	Syntaxin of plants 52 OS=Arabidopsis thaliana OX=3702 GN=SYP52 PE=1 SV=1	66.498	291	12	11	4.158	2.06	3.57812474204233E-06	4.10062686917456E-07	94382902.958379	22698237.3281779	19.48	5.63	114684854.617996	77516015.6219503	94382902.958379	22698237.3281779	24732838.5155253	22289344.7827977	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9MAX3	ath:AT1G78000; Q0WTN0; Q9MAX3; Q9SH00	Sulfate transporter 1.2 OS=Arabidopsis thaliana OX=3702 GN=SULTR1;2 PE=1 SV=1	285.138	1095	23	21	3.967	1.99	3.60056404067025E-06	4.12815032824199E-07	101553020.516986	25596320.6986483	54.18	86.62	54912754.0620842	101553020.516986	173075064.371471	18901431.0955248	25596320.6986483	88517201.7039478	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P93031	ath:AT3G51160; P93031; Q1ECM4; Q8LFY4; Q9SD30	GDP-mannose 4,6 dehydratase 2 OS=Arabidopsis thaliana OX=3702 GN=MUR1 PE=1 SV=3	112.023	588	16	10	0.291	-1.78	4.16177603465657E-06	4.77368517604049E-07	41755005.9680208	143427367.240168	16.72	27.51	51588686.2543248	41755005.9680208	37363653.3186118	132306961.265041	143427367.240168	215245078.053399	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O81210	ath:AT5G51060; O81210; Q5VI40; Q8GZ82; Q9FI42	Respiratory burst oxidase homolog protein C OS=Arabidopsis thaliana OX=3702 GN=RBOHC PE=2 SV=2	122.418	478	25	19	0.139	-2.84	4.19147921676104E-06	4.80985969053549E-07	2167387.39865768	15550917.4139573	38.88	36.45	2167387.39865768	2746028.06941616	1183308.33533264	18072960.3010427	8269675.72715703	15550917.4139573	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	12
A0A1P8AUA2	A0A1P8AUA2	Kinase family with ARM repeat domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g22870 PE=1 SV=1	45.655	223	13	5	6.063	2.6	5.16513114633465E-06	5.94789962837794E-07	37732610.5506845	6223595.25544852	41.84	64.93	37835711.6226144	37732610.5506845	15731056.3515722	11414968.9545299	6223595.25544852	2673591.40974384	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	High	10
Q8RX89	ath:AT5G23390; Q8RX89	AT5g23390/T32G24_2 OS=Arabidopsis thaliana OX=3702 GN=At5g23390 PE=1 SV=1	168.419	984	28	28	0.307	-1.7	6.55522600565134E-06	7.5618238848385E-07	68945996.2869373	224217549.797147	17.87	26.55	86616021.8166628	68945996.2869373	61434448.1196992	314276495.956878	224217549.797147	189439448.86117	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q0WTF4	ath:AT4G37400; Q0WTF4; Q6NQ75; Q8LA85; Q9SZU0	Cytochrome P450 81F3 OS=Arabidopsis thaliana OX=3702 GN=CYP81F3 PE=2 SV=1	21.433	59	5	5	6.248	2.64	7.15121314803953E-06	8.25650832814162E-07	26751711.8308294	4281797.78538971	35.64	63.77	14082742.5835311	26751711.8308294	30018626.3518767	4281797.78538971	4067487.29260615	11469150.6953012	High	High	High	Peak Found	Peak Found	Not Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	10
F4JKM2	F4JKM2	Cinnamyl alcohol dehydrogenase 5 OS=Arabidopsis thaliana OX=3702 GN=CAD5 PE=1 SV=1	41.108	157	6	5	0.085	-3.56	7.24716470123911E-06	8.37456610724985E-07	873513.757471192	10267418.436625	80.3	47.77	3014505.95753722	873513.757471192	805233.221844098	10267418.436625	12775110.2177802	4299699.15966916	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	14
Q9LUE5	ath:AT5G50760; Q9LUE5	At5g50760 OS=Arabidopsis thaliana OX=3702 GN=MFB16.16 PE=1 SV=1	10.653	30	3	3	14.004	3.81	7.25052633810975E-06	8.38209033515724E-07	8307627.52829585	593250.66858419	29.77	48.01	11304778.7161075	6206878.43152326	8307627.52829585	581718.737341084	1263264.50384165	593250.66858419	Peak Found	High	High	High	High	High	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	9
P02666	A1YQZ8; A6N8V0; P02666; Q2TA13; Q5EEQ6; Q5EEQ7; Q6UN63; Q9BDG5; Q9TSD5	Beta-casein (Laboratory-Cont) OS=Bos taurus GN=CSN2 PE=1 SV=2	46.74	120	4	4	0.176	-2.5	7.47002701622343E-06	8.63959753294452E-07	5783081.57433432	32785967.7088026	63.32	60.57	2047889.3923012	9261122.23135321	5783081.57433432	47871996.9130082	32785967.7088026	11042762.0826037	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9M3B8	A0A178VII4; ath:AT3G55340; Q681R8; Q8W2K5; Q9M3B8	Phragmoplastin interacting protein 1 OS=Arabidopsis thaliana OX=3702 GN=PHIP1 PE=1 SV=1	15.348	75	3	3	7.368	2.88	8.53604370601459E-06	9.87680374597844E-07	18519315.4664292	2513568.09812886	29.42	53.67	18519315.4664292	22415640.5854112	12112787.0392272	2390219.5437501	2513568.09812886	5752402.96799223	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	High	16
