Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (rbohC C)	Abundance Ratio (log2): (rbohF C) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohF C) / (rbohC C)	Abundance Ratio P-Value: (rbohF C) / (rbohC C)	Abundances (Grouped): rbohC C	Abundances (Grouped): rbohF C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
F4IN63	ath:AT2G48080; F4IN63	Oxidoreductase, 2OG-Fe(II) oxygenase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g48080 PE=1 SV=1	12.399	31	5	4	3.243	1.7	2.89699472037784E-08	2.69646593942241E-09	81927712.2859207	265694369.390213	67.27	16.36	81927712.2859207	191402813.098256	52724047.4564022	330959944.520567	265694369.390213	242741571.029094	High	High	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	Peak Found	Peak Found	13
Q9SZ46	ath:AT4G31940; Q9SZ46	Xanthotoxin 5-hydroxylase CYP82C4 OS=Arabidopsis thaliana OX=3702 GN=CYP82C4 PE=1 SV=1	171.198	480	23	12	4.249	2.09	2.9765421711424E-08	2.77199907472436E-09	19805910.0050736	84162376.8624107	25.57	55.77	14004364.7397041	19805910.0050736	23757720.8026176	24570764.6749681	84162376.8624107	94696679.9133311	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	14
O04373	ath:AT1G51760; O04373; O81642	IAA-amino acid hydrolase ILR1-like 4 OS=Arabidopsis thaliana OX=3702 GN=ILL4 PE=1 SV=2	128.059	370	15	15	0.216	-2.21	3.33789482593838E-08	3.11019321408423E-09	46492243.8219633	10064397.9034788	27.84	16.64	63999893.1918488	46492243.8219633	37016715.021897	10064397.9034788	8401912.09542631	11753918.8313842	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O81210	ath:AT5G51060; O81210; Q5VI40; Q8GZ82; Q9FI42	Respiratory burst oxidase homolog protein C OS=Arabidopsis thaliana OX=3702 GN=RBOHC PE=2 SV=2	122.418	478	25	19	7.81	2.97	4.05528643632466E-08	3.78474429574283E-09	2167387.39865768	16927705.1470149	38.88	59.84	2167387.39865768	2746028.06941616	1183308.33533264	12067379.9446173	16927705.1470149	36857574.319884	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	12
Q9FLP0	ath:AT5G55230; Q9FLP0	65-kDa microtubule-associated protein 1 OS=Arabidopsis thaliana OX=3702 GN=MAP65-1 PE=1 SV=1	51.499	93	11	10	5.277	2.4	4.2193750548976E-08	3.9463454726274E-09	5995556.61577367	31640395.6156903	5.09	9.05	5592911.16019076	5995556.61577367	6182942.60409057	27420418.8299442	31640395.6156903	32631189.491725	High	Peak Found	High	High	Peak Found	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	13
Q9C8G5	A0A097NUQ9; ath:AT1G30360; Q56WQ8; Q94B69; Q94II2; Q9C8G5	CSC1-like protein ERD4 OS=Arabidopsis thaliana OX=3702 GN=ERD4 PE=1 SV=1	349.274	1874	29	28	2.649	1.41	5.60198674217723E-08	5.24510612720519E-09	210100912.653875	556562663.647029	7.95	34.77	195633375.184605	229169045.759969	210100912.653875	283475595.106785	578648148.989149	556562663.647029	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SRV5	ath:AT3G03780; Q94BN4; Q9SRV5	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=MS2 PE=1 SV=1	405.542	2065	29	11	2.949	1.56	5.94011954087688E-08	5.56467516510395E-09	95679863.5994717	282165346.295569	16.33	13.02	118541168.581744	86781738.3601377	95679863.5994717	282165346.295569	277716624.773539	348084369.081325	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4K6N3	A0A178UM98; F4K6N3	Amidase family protein OS=Arabidopsis thaliana OX=3702 GN=At5g07360 PE=1 SV=1	8.308	12	5	5	6.55	2.71	8.80126083996421E-08	8.27144708281935E-09	3341652.97984213	21889412.0124061	32.43	29.56	3341652.97984213	5312278.49484823	2974633.35807759	17788189.2452519	31448021.9081771	21889412.0124061	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Not Found	High	Peak Found	High	6
F4IV99	ath:AT2G13370; F4IV99; Q9SI41	Protein CHROMATIN REMODELING 5 OS=Arabidopsis thaliana OX=3702 GN=CHR5 PE=1 SV=1	26.593	111	11	11	0.135	-2.89	1.05100751068139E-07	9.88793091849516E-09	18078968.285027	2431861.86776197	21.79	37.75	24483552.9122278	16361973.341595	18078968.285027	2921198.87797266	1291803.20460232	2431861.86776197	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	17
Q7XJN0	Q7XJN0; Q9ZS04	DEAD-box ATP-dependent RNA helicase 17 OS=Arabidopsis thaliana OX=3702 GN=RH17 PE=2 SV=1	91.007	296	16	16	0.252	-1.99	1.07888672803169E-07	1.01610353464565E-08	63123154.3175915	15895984.6670571	13.32	16.83	53972752.4514669	63123154.3175915	70616254.1959033	15895984.6670571	15107445.1154198	20455755.0158826	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q8W1Y3	ath:AT3G44730; F4J373; O22240; Q8W1Y3	Kinesin-like protein KIN-14F OS=Arabidopsis thaliana OX=3702 GN=KIN14F PE=1 SV=2	16.606	25	7	7	7.655	2.94	1.17837285332234E-07	1.1109815734045E-08	1745593.27317134	13361715.6515759	6.92	46.48	1644193.37457172	1886558.16985239	1745593.27317134	6147734.47867197	17461223.736391	13361715.6515759	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	6
Q8L7Y9	ath:AT1G07230; Q8L7Y9; Q9LML5	Non-specific phospholipase C1 OS=Arabidopsis thaliana OX=3702 GN=NPC1 PE=2 SV=1	52.793	173	13	11	4.851	2.28	1.41932188119131E-07	1.34099631399209E-08	6544712.57718961	31748678.9211468	4.03	91.14	6969061.65511839	6472197.33237226	6544712.57718961	8689421.13401572	31748678.9211468	80817510.6973897	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9ZU40	ath:AT2G01270; Q94C52; Q9ZU40	Sulfhydryl oxidase 2 OS=Arabidopsis thaliana OX=3702 GN=QSOX2 PE=2 SV=2	72.455	333	15	13	3.791	1.92	1.44396942594071E-07	1.36573119480232E-08	19555345.556843	74128779.2150738	27.4	12.88	15973825.107031	19555345.556843	27189498.8460547	80589818.9692812	62232898.2136512	74128779.2150738	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8AXP2	A0A1P8AXP2	Myosin-like protein XIF OS=Arabidopsis thaliana OX=3702 GN=XIF PE=1 SV=1	187.965	992	36	22	0.253	-1.98	1.67807583197499E-07	1.58967636831875E-08	61486179.670838	15539592.9855055	14.1	33.04	69963894.2589342	52663365.4197841	61486179.670838	15539592.9855055	8135954.98307015	15777221.485626	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q6NLY8	ath:AT4G36720; O23209; Q6NLY8	HVA22-like protein k OS=Arabidopsis thaliana OX=3702 GN=HVA22K PE=2 SV=1	28.09	82	6	6	0.088	-3.5	2.18453524806302E-07	2.07164587706643E-08	10887287.554091	959499.572242743	22.33	144.01	10887287.554091	7866224.74995048	12427853.1569344	225034.705634142	959499.572242743	9217596.13505117	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	15
A0A1P8AQR8	A0A1P8AQR8	5'-3' exoribonuclease OS=Arabidopsis thaliana OX=3702 GN=XRN4 PE=1 SV=1	16.408	85	7	5	13.125	3.71	3.12627186776902E-07	2.98038649315657E-08	539723.190144439	7084071.03547495	48.36	11.68	861074.656506128	539723.190144439	311662.537647585	7084071.03547495	6079950.01918211	7686872.68542312	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	High	High	High	10
Q8W4M5	ath:AT1G12000; O65379; Q8W4M5	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 1 OS=Arabidopsis thaliana OX=3702 GN=PFP-BETA1 PE=1 SV=1	214.488	1006	30	22	3.117	1.64	3.3915305423404E-07	3.24006677043798E-08	78484520.1527233	244632104.154754	4.94	14.5	82733144.0594971	74962795.5698992	78484520.1527233	271549837.131299	202603993.881268	244632104.154754	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8AUM2	A0A1P8AUM2	OPC-8:0 CoA ligase1 OS=Arabidopsis thaliana OX=3702 GN=OPCL1 PE=1 SV=1	33.901	142	9	9	5.286	2.4	4.22701424770603E-07	4.04671305354043E-08	5512506.79809332	29139994.7252857	20.77	2.11	6491938.0536905	5512506.79809332	4247825.51774426	29847308.5256474	28622492.9591372	29139994.7252857	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LVW0	ath:AT5G54100; Q9LVW0	At5g54100 OS=Arabidopsis thaliana OX=3702 GN=MJP23.8 PE=1 SV=1	84.739	446	16	10	3.586	1.84	1.05017146201706E-06	1.00800879643259E-07	23325917.2331312	83637326.7566494	8.23	13.05	20342834.6866561	23325917.2331312	23725136.202142	97186345.6283671	75111401.4362055	83637326.7566494	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8LLD0	ath:AT1G80680; Q38941; Q8LLD0; Q8LLD1	Nuclear pore complex protein NUP96 OS=Arabidopsis thaliana OX=3702 GN=NUP96 PE=1 SV=1	31.287	105	8	8	0.227	-2.14	1.11769464604948E-06	1.07338125499012E-07	31970600.7900036	7248276.37934864	11.09	16.18	31970600.7900036	28937760.9315088	36080823.654362	5896531.7681344	8184275.06682133	7248276.37934864	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	15
Q8GWA5	Q8GWA5	Actin family protein OS=Arabidopsis thaliana OX=3702 GN=At2g42170 PE=2 SV=1	36.05	157	3	2	9.754	3.29	1.23214076348567E-06	1.18576024554784E-07	1124951.71869282	10972439.0443815	20.28	38.61	1188791.413143	796821.627472793	1124951.71869282	5717981.01685747	13218844.665491	10972439.0443815	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	High	High	High	Not Found	High	High	Peak Found	10
F4HWC3	ath:AT1G20970; F4HWC3	Calponin-like domain protein OS=Arabidopsis thaliana OX=3702 GN=At1g20970 PE=1 SV=1	313.32	1030	42	42	2.903	1.54	1.81464217001936E-06	1.74997320190329E-07	84725625.625889	245989135.184004	74	9.48	68913319.7933568	84725625.625889	247764391.468127	217066096.995519	262334331.53935	245989135.184004	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4I2Z8	ath:AT1G22750; F4I2Z8	Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At1g22750 PE=1 SV=1	16.393	39	6	6	0.092	-3.45	2.48126675860063E-06	2.407765247181E-07	6805832.70917335	624105.562729262	7.14	45.7	6805832.70917335	6163774.76838165	7097794.34372631	810062.971742228	624105.562729262	291260.295845124	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	9
Q9FG91	ath:AT5G43730; Q0WKV2; Q9FG91	Probable disease resistance protein At5g43730 OS=Arabidopsis thaliana OX=3702 GN=At5g43730 PE=2 SV=1	31.273	73	11	6	6.256	2.65	3.0485449899292E-06	2.96740733318757E-07	2745784.6247347	17178853.6970736	35.07	54.79	4637454.32901161	2745784.6247347	2531686.24912965	5071408.02503578	17178853.6970736	18764247.8130588	High	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	10
F4IXH3	F4IXH3	P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g15120 PE=1 SV=1	7.464	13	6	6	17.188	4.1	3.14837943171756E-06	3.06774077252214E-07	240592.581281847	4135229.37156567	43.59	67.16	240592.581281847	167461.506550251	396267.525215915	906982.548056547	5506635.03623285	4135229.37156567	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	Peak Found	Peak Found	7
Q9C562	ath:AT5G58380; Q9C562; Q9LVL3	CBL-interacting serine/threonine-protein kinase 10 OS=Arabidopsis thaliana OX=3702 GN=CIPK10 PE=1 SV=1	39.25	139	10	7	0.284	-1.81	3.34649379581631E-06	3.26245823911719E-07	60250353.4934925	17124728.6784658	14.33	28.76	60250353.4934925	53344505.6026746	70834512.571817	17124728.6784658	25665933.4548795	15224503.359446	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	17
Q8W4E1	ath:AT1G12770; Q0WLV2; Q8W4E1; Q9LN70; Q9LPX3	DEAD-box ATP-dependent RNA helicase 47, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=RH47 PE=1 SV=2	8.363	22	5	5	5.947	2.57	4.222729723435E-06	4.12515674952374E-07	2230109.41625289	13261847.7599782	72.56	61.2	583539.159978327	3765505.48869539	2230109.41625289	13261847.7599782	29686451.1651205	9561878.3044103	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	7
Q8LCV1	ath:AT5G66410; Q8LCV1; Q9FJZ8	Thioredoxin domain-containing protein PLP3B OS=Arabidopsis thaliana OX=3702 GN=PLP3B PE=2 SV=1	41.826	108	8	7	0.214	-2.23	4.24682744667887E-06	4.15082628490993E-07	24395677.51491	5209358.42026442	6.94	15.27	24395677.51491	23466070.3194076	26813499.9633725	4270383.01907573	5209358.42026442	5815687.20894549	High	High	High	High	High	Peak Found	High	High	High	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	14
Q9SLA7	ath:AT2G25560; Q9SLA7	At2g25560/F13B15.22 OS=Arabidopsis thaliana OX=3702 GN=At2g25560 PE=1 SV=1	18.002	17	5	5	10.188	3.35	4.2611289188142E-06	4.16694026394993E-07	930491.856627762	9479630.61064866	23.36	46.79	1099314.9594316	787595.11805265		4939622.75414792	9479630.61064866	13713461.7320095	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Not Found	6
Q9FKN5	ath:AT5G17910; Q9FKN5	Cardiomyopathy-associated protein OS=Arabidopsis thaliana OX=3702 GN=MPI7.8 PE=1 SV=1	60.003	273	10	10	3.352	1.75	4.38847418530359E-06	4.29367029708416E-07	20669807.1865765	69284989.6988711	6.45	27.09	20875091.1845879	20669807.1865765	18541875.0770756	69284989.6988711	43154428.9407239	74810563.4386662	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q93ZU3	ath:AT4G23050; Q93ZU3	PAS domain-containing protein tyrosine kinase family protein OS=Arabidopsis thaliana OX=3702 GN=At4g23050 PE=1 SV=1	18.355	96	7	5	11.559	3.53	4.39116073785648E-06	4.30070075774225E-07	458669.726104781	5301856.30392744	24.48	20.9	458669.726104781	629398.350354414	395345.247875913	3632130.37666079	5301856.30392744	5420378.69816271	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	Peak Found	High	7
Q8L7T5	Q8L7T5	At1g07990/T6D22_5 OS=Arabidopsis thaliana OX=3702 GN=At1g07990 PE=1 SV=1	29.07	169	8	5	17.739	4.15	4.53064554014245E-06	4.45574956264849E-07	52500.4826862971	931285.633408814	23.7	19.09		62176.8987952848	44329.980035981	1187497.21313034	823069.927715554	931285.633408814	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	15
Q949Z2	ath:AT5G26740; Q949Z2	AT5G26740 protein OS=Arabidopsis thaliana OX=3702 GN=At5g26734 PE=1 SV=1	21.548	59	4	4	3.317	1.73	5.95491521873924E-06	5.88596702488786E-07	24843086.2317139	82406484.6524527	66.69	65.32	24843086.2317139	68359312.0939125	22697983.3203075	24098682.596458	124021057.934304	82406484.6524527	High	High	High	High	High	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	12
Q93XX8	ath:AT2G20490; Q93XX8; Q9SIM0	H/ACA ribonucleoprotein complex subunit 3-like protein OS=Arabidopsis thaliana OX=3702 GN=At2g20490 PE=3 SV=2	60.537	284	5	5	0.311	-1.69	7.51396416990878E-06	7.43826336302433E-07	61131933.9186116	18985068.4069304	22.23	37.86	61131933.9186116	63032817.3041316	40950053.3698535	33388617.4160002	17410365.2899604	18985068.4069304	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8VYW7	ath:AT5G16210; Q8VYW7	AT5g16210/T21H19_130 OS=Arabidopsis thaliana OX=3702 GN=At5g16210 PE=1 SV=1	72.114	235	25	25	3.389	1.76	1.04035393583301E-05	1.03247997240707E-06	16606677.0760493	56279356.7857112	14.3	73.76	17291314.5970815	13113557.7855949	16606677.0760493	26053840.6696532	125881777.672297	56279356.7857112	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P0C1T5	ath:AT5G09978; P0C1T5; Q1G3G0	Elicitor peptide 7 OS=Arabidopsis thaliana OX=3702 GN=PEP7 PE=3 SV=1	21.744	137	3	3	2.984	1.58	1.24165170201659E-05	1.23474361024556E-06	35175297.0108816	104951999.356367	32.5	22.44	43064262.0199931	35175297.0108816	21665371.9447743	104951999.356367	79729518.0355644	126176718.888108	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P54969	ath:AT5G56650; P54969	IAA-amino acid hydrolase ILR1-like 1 OS=Arabidopsis thaliana OX=3702 GN=ILL1 PE=1 SV=1	54.898	225	11	10	0.263	-1.93	1.32087675624281E-05	1.31551406679087E-06	35543395.7038282	9339081.09204631	18.21	31.68	41299408.2126844	35543395.7038282	28529991.3105475	8085309.9645591	14438173.5733745	9339081.09204631	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	17
A2RVT9	A2RVT9; ath:AT5G38890	AT5G38890 protein OS=Arabidopsis thaliana OX=3702 GN=At5g38890 PE=1 SV=1	27.06	61	6	6	5.708	2.51	1.33657995863436E-05	1.33249337763708E-06	2540111.83090618	14499080.3178689	54.5	22.11	4826273.4597378	1650828.80668454	2540111.83090618	14576869.6177921	14499080.3178689	9601233.48083353	High	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	High	13
Q0WPN0	ath:AT1G77680; Q0WPN0; Q56WY4; Q9CA26	Inactive exonuclease DIS3L2 OS=Arabidopsis thaliana OX=3702 GN=SOV PE=2 SV=1	28.954	103	11	11	0.262	-1.93	1.36917976974136E-05	1.36567978636926E-06	32883058.1272095	8615667.13247013	14	16.08	32883058.1272095	25798860.460996	33578743.9549075	6890498.84674716	9533068.62337949	8615667.13247013	High	High	High	High	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	13
Q9FT97	ath:AT5G08380; Q8RWB9; Q9FT97	Alpha-galactosidase 1 OS=Arabidopsis thaliana OX=3702 GN=AGAL1 PE=2 SV=1	7.48	24	3	3	9.363	3.23	1.87399282773063E-05	1.88329187489344E-06	863607.848997697	8085563.78598794	115.43	68.91	5481769.02466772	705797.023681572	863607.848997697	8085563.78598794	1962148.60677429	12021084.4381215	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	6
Q66GM8	ath:AT5G26670; B9DGF9; O65250; Q0WRK2; Q66GM8	Pectin acetylesterase 10 OS=Arabidopsis thaliana OX=3702 GN=PAE10 PE=2 SV=1	38.024	190	8	5	5.163	2.37	1.88303340330791E-05	1.8933211403116E-06	2867956.23647587	14808474.3793019	11.52	73.95	2867956.23647587	2361936.44215426	2935818.02310714	3929244.65544643	25968776.4403107	14808474.3793019	High	High	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	High	High	High	High	High	High	13
Q8VYC5	Q8VYC5	Ketose-bisphosphate aldolase class-II family protein OS=Arabidopsis thaliana OX=3702 GN=At1g18270 PE=1 SV=1	461.419	2245	57	57	2.176	1.12	2.15697527186314E-05	2.16984079526306E-06	264104087.294216	574817674.734077	27.01	20.71	407927407.526453	264104087.294216	260889281.665761	392671043.779563	580641686.064386	574817674.734077	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q0WUZ5	ath:AT5G65470; Q0WUZ5; Q8RWD4; Q9FKP3	O-fucosyltransferase 39 OS=Arabidopsis thaliana OX=3702 GN=OFUT39 PE=2 SV=1	23.446	59	6	4	5.576	2.48	2.17348185705397E-05	2.18753524583448E-06	3184440.25212098	17756474.8385395	26.98	36	3184440.25212098	3917091.84392184	2241117.47154001	9982655.01750418	17756474.8385395	21607772.8267363	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	10
Q9SKD7	ath:AT2G46430; Q9SKD7; Q9XFS1; Q9ZPK1	Probable cyclic nucleotide-gated ion channel 3 OS=Arabidopsis thaliana OX=3702 GN=CNGC3 PE=2 SV=2	58.924	216	11	9	0.279	-1.84	2.26745597552358E-05	2.28552652337122E-06	33757962.3423613	9408746.06857259	6.78	27.34	36002934.1796012	31431931.5518242	33757962.3423613	7911490.6902233	13320323.5023741	9408746.06857259	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9FN19	ath:AT5G67320; Q56Y40; Q9FN19	WD40 repeat-containing protein HOS15 OS=Arabidopsis thaliana OX=3702 GN=HOS15 PE=2 SV=1	88.417	467	17	17	0.342	-1.55	2.45809068576169E-05	2.47891256566213E-06	62658203.5658664	21423413.4754346	20.88	24.32	62658203.5658664	79088662.741987	52303360.89427	21423413.4754346	16338926.1030591	26806355.9683785	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8RW96	ath:AT4G15415; O04377; O23394; Q8RW96	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' gamma isoform OS=Arabidopsis thaliana OX=3702 GN=B'GAMMA PE=1 SV=2	64.617	247	17	7	4.116	2.04	2.88448673514937E-05	2.91181208189606E-06	6808938.83422983	28025770.021827	17.82	13.27	8944309.24193414	6808938.83422983	6522247.8045024	22351307.0225924	28025770.021827	28735792.0595551	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
F4J3F3	F4J3F3	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g57570 PE=1 SV=1	13.167	43	6	6	0.136	-2.87	3.3353195415547E-05	3.37694625529572E-06	10188263.7160426	1390429.54773752	27.48	41.04	6822955.42588023	12084604.1944305	10188263.7160426	917485.780453446	2119978.13632781	1390429.54773752	Peak Found	High	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	9
Q8W4S6	A8MQQ0; ath:AT5G11920; Q8W4S6; Q9LYI1	Beta-fructofuranosidase, insoluble isoenzyme CWINV6 OS=Arabidopsis thaliana OX=3702 GN=CWINV6 PE=2 SV=1	37.959	119	13	13	0.24	-2.06	3.40632677566928E-05	3.45225439346564E-06	21295923.0167076	5115218.11541135	57.26	12.36	5731535.2980643	23218937.5553643	21295923.0167076	5115218.11541135	5016124.71652297	6230137.81055177	High	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	15
Q56WF8	ath:AT3G45010; Q56WF8; Q93ZC3; Q9LXH4	Serine carboxypeptidase-like 48 OS=Arabidopsis thaliana OX=3702 GN=SCPL48 PE=2 SV=2	11.037	32	5	5	12.842	3.68	3.86002552358629E-05	3.91593988258165E-06	323284.301722081	4151515.9847134	64.98	37.41	323284.301722081	725527.101449143	207099.138416557	2533857.43144468	4151515.9847134	5595434.17598206	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Not Found	Peak Found	High	High	High	8
Q8L7B1	Q8L7B1	RING/U-box superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g35330 PE=1 SV=1	94.005	355	18	13	0.354	-1.5	4.08521882517891E-05	4.15053809765809E-06	98635251.2604612	34909778.4462526	21.94	21.62	84392373.7909922	98635251.2604612	129071885.652107	30509310.0740186	46098899.870755	34909778.4462526	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O49394	A0MFB5; ath:AT4G31970; O49394	Xanthotoxin 5-hydroxylase CYP82C2 OS=Arabidopsis thaliana OX=3702 GN=CYP82C2 PE=1 SV=2	179.102	444	26	13	3.187	1.67	4.25573164165532E-05	4.32591036503283E-06	16905950.9551134	53884345.5357355	34.5	63.94	10015996.698752	20880156.401856	16905950.9551134	11384102.4002638	53884345.5357355	61578760.1341627	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	12
Q9SCS8	A0A068LL46; ath:AT3G50460; Q9C5Z5; Q9SCS8	RPW8-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=HR2 PE=2 SV=1	8.826	19	4	4	8.569	3.1	4.94956058175295E-05	5.04358511488334E-06	1080756.08530491	9260463.88870009	5.6	13.94		1038800.35998551	1124406.34496882	9260463.88870009	7614390.25890214	10071469.8434004	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	7
