Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (WT C)	Abundance Ratio (log2): (rbohF C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohF C) / (WT C)	Abundance Ratio P-Value: (rbohF C) / (WT C)	Abundances (Grouped): rbohF C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q4V3A2	ath:AT5G16170; Q4V3A2	At5g16170 OS=Arabidopsis thaliana OX=3702 GN=At5g16170 PE=2 SV=1	20.476	55	6	6	0.102	-3.29	9.98634492149105E-10	1.02210240271461E-10	2432206.00414734	23786598.8440755	26.1	70.84	2432206.00414734	2676590.2463858	1570451.82816085	3435129.08220349	27213270.1082536	23786598.8440755	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	14
Q93Z53	ath:AT1G32440; Q93Z53; Q9LQL3	Plastidial pyruvate kinase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PKP3 PE=1 SV=1	91.797	267	15	13	5.373	2.43	1.28551809210566E-09	1.31829880345435E-10	297940922.854316	55453878.1952923	16.3	36.71	249403442.363559	297940922.854316	346527920.417808	55453878.1952923	83558833.700239	40315357.2869998	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4JXW2	ath:AT5G11500; F4JXW2	Coiled-coil protein OS=Arabidopsis thaliana OX=3702 GN=At5g11500 PE=1 SV=1	55.776	228	6	6	0.139	-2.85	1.375993003578E-09	1.41245681817281E-10	4236021.86451234	30529882.7704051	41.23	12.35	4236021.86451234	2972417.33333662	6738223.96481748	33843514.3388094	26388375.8156158	30529882.7704051	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8VY27	ath:AT3G55150; Q8VY27; Q9M3D4	Exocyst complex component EXO70H1 OS=Arabidopsis thaliana OX=3702 GN=EXO70H1 PE=1 SV=1	17.41	40	6	5	34.687	5.12	2.62846214622669E-09	2.71520139705217E-10	4483647.89660118	129260.2375553	16.27	97.35	3640162.18675018	4483647.89660118	5062116.21126105	40449.6686183392	389744.344810062	129260.2375553	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	8
Q8VZL1	ath:AT5G13260; Q8VZL1	Myosin OS=Arabidopsis thaliana OX=3702 GN=At5g13260 PE=1 SV=1	52.013	173	14	14	0.163	-2.62	2.6888710040446E-09	2.7789481826801E-10	5944214.38354346	36576774.1355546	33.61	33.36	10086854.0101373	5772886.99418079	5944214.38354346	20885361.1504683	36576774.1355546	42325850.0292725	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	Peak Found	Peak Found	High	15
F4I6W7		Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g70740 PE=1 SV=1	34.676	149	8	6	22.263	4.48	2.73697114355147E-09	2.83276513357578E-10	7970341.30268728	358014.849548513	13.72	108.27	7970341.30268728	8094512.88393744	6266888.89812467	130450.986625288		982550.119497512	High	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Not Found	High	High	Peak Found	Peak Found	9
Q9M3B8	A0A178VII4; ath:AT3G55340; Q681R8; Q8W2K5; Q9M3B8	Phragmoplastin interacting protein 1 OS=Arabidopsis thaliana OX=3702 GN=PHIP1 PE=1 SV=1	15.348	75	3	3	9.984	3.32	3.45061390266433E-09	3.57311069620891E-10	25094331.7062327	2513568.09812886	18.02	53.67	24271675.8502767	25094331.7062327	33246965.4332869	2390219.5437501	2513568.09812886	5752402.96799223	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	High	16
Q8L7Y9	ath:AT1G07230; Q8L7Y9; Q9LML5	Non-specific phospholipase C1 OS=Arabidopsis thaliana OX=3702 GN=NPC1 PE=2 SV=1	52.793	173	13	11	7.133	2.83	3.86456965218238E-09	4.00755872931313E-10	31748678.9211468	4450825.87628641	91.14	17.74	8689421.13401572	31748678.9211468	80817510.6973897	5804737.6051426	4219992.65958226	4450825.87628641	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4JMW3	F4JMW3	Root hair specific 16 OS=Arabidopsis thaliana OX=3702 GN=RHS16 PE=4 SV=1	7.607	25	4	3	6.55	2.71	4.095883745581E-09	4.25357526978587E-10	33035051.9066924	5043531.22289596	67.12	25.69	6571584.8113164	33035051.9066924	41066406.8265291	3126751.09119478	5043531.22289596	5159852.01869867	High	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	7
Q9LYD8	ath:AT5G11540; Q9LYD8	L-gulonolactone oxidase 3 OS=Arabidopsis thaliana OX=3702 GN=GULLO3 PE=1 SV=1	56.652	190	11	11	5.932	2.57	5.86901431499343E-09	6.10964390190816E-10	41792021.990861	7044722.10549107	7.71	36.29	36639648.1022304	41792021.990861	42201292.5452029	7044722.10549107	11707643.107513	6091762.52841069	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FKM2	ath:AT5G57490; Q9FKM2	Mitochondrial outer membrane protein porin 4 OS=Arabidopsis thaliana OX=3702 GN=VDAC4 PE=1 SV=1	119.346	527	15	15	4.436	2.15	6.73458729602055E-09	7.01743996245341E-10	158231339.453344	35668246.5366704	8.12	47.01	158231339.453344	143839047.174026	169294671.94955	24789662.1410164	35668246.5366704	62147417.7696519	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q93ZR3	A0A178W5N7; O64496; Q93ZR3	Tetratricopeptide repeat (TPR)-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=PRP39 PE=1 SV=1	46.605	148	12	12	0.174	-2.52	7.14019447594262E-09	7.44722283840815E-10	10623514.8863715	60959534.4881426	14.44	56.94	9576601.07111409	10623514.8863715	12688737.942279	41420329.0885343	60959534.4881426	123485222.940994	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	15
O22939	ath:AT2G41810; O22939	Uncharacterized protein At2g41810 OS=Arabidopsis thaliana OX=3702 GN=At2g41810 PE=1 SV=1	69.23	240	9	8	5.787	2.53	8.18085949300216E-09	8.53672688094775E-10	42477416.8518452	7340415.48095897	34.16	86.88	23500989.1698098	42477416.8518452	48454385.0170927	23276899.9337958	7340415.48095897	4424022.61369001	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	14
Q7XA86	ath:AT3G51390; Q7XA86; Q8LAV8; Q9SD10	Protein S-acyltransferase 10 OS=Arabidopsis thaliana OX=3702 GN=PAT10 PE=1 SV=1	14.869	84	3	3	12.542	3.65	9.4914267210408E-09	9.92328663684816E-10	13897601.1126345	1108063.71984076	6.16		14342154.6569373	12715848.9834321	13897601.1126345		1108063.71984076		High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	17
O22287	ath:AT2G39770; O22287; Q9C5B8	Mannose-1-phosphate guanylyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=CYT1 PE=1 SV=1	84.112	351	14	9	4.467	2.16	1.04877249863176E-08	1.09701603356882E-09	242310313.767607	54243598.9075526	22.99	14.86	242310313.767607	258170425.651214	163234172.220414	45546442.9123649	61498909.0887366	54243598.9075526	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q5XV72	Q5XV72	Caldesmon-like protein OS=Arabidopsis thaliana OX=3702 GN=At4g25070 PE=1 SV=1	96.911	222	19	19	5.737	2.52	1.20460902949197E-08	1.26303256742233E-09	54648064.3056327	9525024.79376521	83.66	40.66	54648064.3056327	100034935.623296	8834235.13977107	12837836.0277231	5343653.60385892	9525024.79376521	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	17
P92949	ath:AT1G01580; P92949; Q9LMM3	Ferric reduction oxidase 2 OS=Arabidopsis thaliana OX=3702 GN=FRO2 PE=1 SV=2	163.738	670	18	16	4.094	2.03	1.35264199396589E-08	1.4195977726672E-09	177878673.982219	43443704.7061698	49.67	10.95	106071309.573827	296312935.400793	177878673.982219	43443704.7061698	40027864.6652268	49616323.8053414	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LHN8	ath:AT3G13610; Q9LHN8	Feruloyl CoA ortho-hydroxylase 1 OS=Arabidopsis thaliana OX=3702 GN=F6'H1 PE=1 SV=1	97.276	290	16	16	6.073	2.6	1.45337456355524E-08	1.526043291733E-09	76264959.8828051	12558577.3462116	22	44.6	51086673.9730917	76264959.8828051	77991057.9866328	12558577.3462116	5920323.06516134	16008825.3945115	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SVC2	ath:AT3G52400; Q9SUJ2; Q9SVC2	Syntaxin-122 OS=Arabidopsis thaliana OX=3702 GN=SYP122 PE=1 SV=1	156.092	640	19	19	0.222	-2.17	2.0575773355472E-08	2.16148499099234E-09	149991225.672631	675466159.789552	27.59	14.2	91542540.62997	149991225.672631	159820120.720718	675466159.789552	686106566.005752	526243174.709291	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O82647	ath:AT4G33070; O82647; Q96535	Pyruvate decarboxylase 1 OS=Arabidopsis thaliana OX=3702 GN=PDC1 PE=2 SV=1	153.971	462	19	14	0.204	-2.29	2.31580739685305E-08	2.43507147779098E-09	10270110.9452853	50295745.1579944	21.07	87.59	7539933.13154316	10270110.9452853	11589029.6364553	104819663.983403	50295745.1579944	9189746.29867126	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	High	Peak Found	High	7
F4K6N3	A0A178UM98; F4K6N3	Amidase family protein OS=Arabidopsis thaliana OX=3702 GN=At5g07360 PE=1 SV=1	8.308	12	5	5	8.824	3.14	2.50487148170218E-08	2.6376296702324E-09	21889412.0124061	2480764.35560331	29.56	6.95	17788189.2452519	31448021.9081771	21889412.0124061	2361685.61825349	2605847.17138729		High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Not Found	High	Peak Found	High	6
O22224	ath:AT2G41620; O22224; Q94CF2	Nuclear pore complex protein NUP93A OS=Arabidopsis thaliana OX=3702 GN=NUP93A PE=1 SV=2	191.873	629	33	27	4.675	2.22	2.66726615493875E-08	2.81129852730544E-09	124970211.363961	26732088.6231831	31.11	28.44	131301671.511128	124970211.363961	69823043.4192515	26732088.6231831	24351732.1155175	40427286.2456027	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8GZ87	ath:AT1G14380; Q8GZ87; Q8LAE0; Q9M9S5	Protein IQ-DOMAIN 28 OS=Arabidopsis thaliana OX=3702 GN=IQD28 PE=1 SV=1	166.577	749	27	26	4.474	2.16	2.79586212001875E-08	2.94963453661978E-09	244650651.01915	54684364.1855975	19.87	34.32	244650651.01915	312092248.878971	212245094.653937	80825263.2779605	54684364.1855975	41071952.6269703	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SIL6	ath:AT2G20530; Q9SIL6	Prohibitin-6, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PHB6 PE=1 SV=1	116.068	634	10	6	0.228	-2.13	2.99597699342782E-08	3.16375170505978E-09	33862863.756589	148214790.505341	16.21	17.12	28009098.6800418	33862863.756589	38885980.647277	186168908.199942	148214790.505341	134522780.823197	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SLE0	ath:AT2G16790; Q8LDN6; Q9SLE0	Gluconokinase OS=Arabidopsis thaliana OX=3702 GN=At2g16790 PE=2 SV=2	36.032	86	8	8	8.827	3.14	3.82850253576739E-08	4.04481292903824E-09	19887745.9723639	2253179.89043797	10.23	25.2	16902964.8671826	20588033.254272	19887745.9723639	2253179.89043797	1972324.06613866	3159504.24062956	High	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	15
Q9MAB2	A0A178VFF8; ath:AT3G05070; Q9MAB2	At3g05070 OS=Arabidopsis thaliana OX=3702 GN=At3g05070 PE=1 SV=1	34.265	103	7	7	0.166	-2.59	4.67190982511972E-08	4.9405446400641E-09	11377132.5886218	68438336.4144961	25.73	7.5	11377132.5886218	8351779.35859011	14164098.1876037	75641656.7519417	68438336.4144961	65445024.6200788	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
Q8RWY3	ath:AT3G06400; F4JAW0; F4JAW1; Q8RWY3; Q9SQU3	ISWI chromatin-remodeling complex ATPase CHR11 OS=Arabidopsis thaliana OX=3702 GN=CHR11 PE=1 SV=4	266.072	1755	50	13	3.934	1.98	4.89456331445722E-08	5.18089526835297E-09	465091088.73691	118230914.612197	24.98	6.77	449459962.282974	465091088.73691	687992321.143332	118230914.612197	114521661.97647	130203043.329437	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q42534	ath:AT1G53830; Q42534; Q9SSB0	Pectinesterase 2 OS=Arabidopsis thaliana OX=3702 GN=PME2 PE=2 SV=2	59.126	180	8	4	0.196	-2.35	5.42673160077597E-08	5.75233549682252E-09	7902351.80484759	40222327.3180953	37.2	22.49	6002625.64000028	7902351.80484759	12345229.7662983	35488384.2869834	40222327.3180953	54220729.1349483	High	Peak Found	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	16
F4K2Y3	ath:AT5G36210; F4K2Y3	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MAB16.20 PE=1 SV=1	29.221	71	8	8	0.186	-2.43	5.44252180648291E-08	5.77179437577513E-09	6070587.06878766	32724807.164296	19.56	43.51	7146075.34816383	4799438.70803429	6070587.06878766	23246354.6660631	32724807.164296	54494256.0282695	Peak Found	High	High	Peak Found	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	13
A0A1P8ARR3	A0A1P8ARR3	Syntaxin of plants 52 OS=Arabidopsis thaliana OX=3702 GN=SYP52 PE=1 SV=1	66.498	291	12	11	4.342	2.12	5.59439426275309E-08	5.9384495099124E-09	98559255.7277695	22698237.3281779	38.15	5.63	142006109.951772	98559255.7277695	64595663.66368	22698237.3281779	24732838.5155253	22289344.7827977	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8H1F1	A0A178VFN2; Q8H1F1	AP-5 complex subunit zeta-1 OS=Arabidopsis thaliana OX=3702 GN=At3g15160 PE=1 SV=1	40.674	163	10	10	0.189	-2.4	5.74969990573075E-08	6.10905614983892E-09	7453780.47717973	39363121.053624	49.83	35.26	8918819.74392163	2813969.5805177	7453780.47717973	56448193.5021331	39363121.053624	27600627.5751206	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8ASX9	A0A1P8ASX9; ath:AT1G50120	Immunoglobulin OS=Arabidopsis thaliana OX=3702 GN=At1g50120 PE=1 SV=1	40.348	220	11	11	5.537	2.47	5.87691807436311E-08	6.25597929015953E-09	79007043.0166726	14267695.5153057	16.58	28.39	60449149.7974673	83825459.5438441	79007043.0166726	20982633.1429052	14267695.5153057	12409530.5453567	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9ZVL3	ath:AT1G54830; Q9ZVL3	Nuclear transcription factor Y subunit C-3 OS=Arabidopsis thaliana OX=3702 GN=NFYC3 PE=1 SV=1	15.238	24	4	4	0.035	-4.84	6.0608376339494E-08	6.45782249897309E-09	32547.5814119142	935040.380099192	60.07	106.28	51223.7707323839	20680.7316333598		935040.380099192	391320.030339041	3729887.02822201	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Not Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Not Found	6
P17597	A0A174; ath:AT3G48560; P17597; Q5FV34; Q8L7Y7; Q94B64	Acetolactate synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ALS PE=1 SV=1	188.753	752	22	22	4.436	2.15	6.95167776028942E-08	7.41396433134867E-09	257494797.601709	58050535.3133455	4.13	12.54	257494797.601709	262552917.169919	242361358.683501	47017439.8079035	59681467.3031895	58050535.3133455	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FR95	ath:AT4G15340; O23388; Q08J21; Q9FR95	Arabidiol synthase OS=Arabidopsis thaliana OX=3702 GN=PEN1 PE=1 SV=1	9.81	22	6	5	0.19	-2.4	1.13220643520625E-07	1.2131591953235E-08	5800584.49672146	30570385.1164858	55.48	25.33	5800584.49672146	3065632.95408414	9988905.15933956	30570385.1164858	23984537.5493918	39849869.7382634	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	6
Q9FIJ0	ath:AT5G47910; O81212; Q9FIJ0	Respiratory burst oxidase homolog protein D OS=Arabidopsis thaliana OX=3702 GN=RBOHD PE=1 SV=1	215.867	997	34	29	3.634	1.86	1.6887149043473E-07	1.81536852217334E-08	171734318.634078	47254590.3915992	21.92	22.5	184082412.403339	171734318.634078	118808551.85553	47254590.3915992	38198742.889695	59904003.5966062	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q93YQ5	A0A178V829; ath:AT3G61180; Q93YQ5	RING/U-box superfamily protein OS=Arabidopsis thaliana OX=3702 GN=T20K12.80 PE=1 SV=1	9.742	88	2	2	7.99	3	1.75519249235391E-07	1.88946471801898E-08	24065884.6327856	3012022.78247622	8.42	70.2	22202935.4504838	24065884.6327856	26270865.4857442	3012022.78247622	1051404.5794504	5529201.61766671	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
Q9LFT3	ath:AT5G15870; Q9LFT3	Endo-1,3(4)-beta-glucanase OS=Arabidopsis thaliana OX=3702 GN=At5g15870 PE=1 SV=1	22.201	46	7	7	0.125	-3	1.95890216252676E-07	2.10973762904132E-08	1776766.81782234	14236392.6568566	110.94	126.45	1522378.68046648	10459731.317461	1776766.81782234	14236392.6568566	4274785.24830509	82469162.1337302	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	Peak Found	High	High	High	Peak Found	10
Q681W7	A0A178VKQ1; ath:AT3G04950; Q681W7	SEC-C motif protein OS=Arabidopsis thaliana OX=3702 GN=At3g04950 PE=1 SV=1	30.366	92	4	4	0.147	-2.76	2.92972634104579E-07	3.1611747219884E-08	2834429.71053783	19244204.7812849	74.88	33.39	2834429.71053783	329163.688369205	3432091.33531414	15685363.5159813	19244204.7812849	29493983.3850164	High	High	High	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	13
Q9LZJ7	ath:AT3G62680; Q9LZJ7; Q9M7N9	Proline-rich protein 3 OS=Arabidopsis thaliana OX=3702 GN=PRP3 PE=2 SV=1	21.693	50	4	4	8.455	3.08	3.36929552159483E-07	3.63883916332242E-08	14995418.8016581	1773659.35465373	25.28	115.8	10601062.6462117	17873293.0168072	14995418.8016581	1773659.35465373	744421.782015897	8718827.403324	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	7
Q9ZPS9	ath:AT2G01950; Q9ZPS9	Serine/threonine-protein kinase BRI1-like 2 OS=Arabidopsis thaliana OX=3702 GN=BRL2 PE=1 SV=1	40.505	129	11	9	0.162	-2.63	3.37311461090868E-07	3.64465033708683E-08	3268616.45667057	20210066.3610551	12.56	91.3	3565077.96056757	3268616.45667057	2769502.04261438	3506495.108382	20210066.3610551	45151938.9146106	High	High	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	11
Q7PC79	ath:AT1G72560; Q7PC79; Q7XAC4; Q9CAH2	Exportin-T OS=Arabidopsis thaliana OX=3702 GN=PSD PE=2 SV=1	101.258	420	22	22	4.01	2	3.62848735537216E-07	3.92239483115731E-08	299437134.560534	74663344.8855142	15.66	14.31	318665115.344881	299437134.560534	233828112.694978	77924346.0045165	74663344.8855142	59044289.6704966	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q6DST1	ath:AT1G64065; Q6DST1; Q9SH57	Late embryogenesis abundant protein At1g64065 OS=Arabidopsis thaliana OX=3702 GN=At1g64065 PE=2 SV=1	18.6	40	5	5	8.404	3.07	3.68440271870651E-07	3.98468154028109E-08	15014352.0671298	1786589.74454096	37.08	37.49	13061772.5298882	25350144.934883	15014352.0671298	2740649.55301084	1786589.74454096	1308187.27251482	Peak Found	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	Peak Found	8
O80585	ath:AT2G44160; O80585; Q56ZL2; Q94JZ1; Q9SE59; Q9SUJ0	Methylenetetrahydrofolate reductase 2 OS=Arabidopsis thaliana OX=3702 GN=MTHFR2 PE=1 SV=2	157.352	739	30	23	3.397	1.76	3.72078935745774E-07	4.02589408476928E-08	184184886.348355	54217482.9903185	24.56	18.36	206822341.149855	125021783.58762	184184886.348355	56838628.0851767	54217482.9903185	39705402.8917661	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LMK7	ath:AT1G07140; O04149; Q9LMK7; Q9XHS1	Ran-binding protein 1 homolog a OS=Arabidopsis thaliana OX=3702 GN=RANBP1A PE=1 SV=1	90.635	324	11	8	0.256	-1.97	4.2306170672979E-07	4.58175828388363E-08	36085753.5106972	141128372.652514	30.46	30.3	36085753.5106972	21665839.7627726	40926036.702074	141128372.652514	193343106.536349	105060356.960931	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	17
Q9FGZ3	ath:AT5G49530; Q9FGZ3	SIN-like family protein OS=Arabidopsis thaliana OX=3702 GN=At5g49530 PE=1 SV=1	38.808	252	12	12	4.893	2.29	4.67628965480659E-07	5.06909798581034E-08	45254136.0571906	9247908.08047483	26.41	15.27	59905520.3861684	45254136.0571906	35324329.8548229	9247908.08047483	11066231.2428029	8198729.42994534	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8RW96	ath:AT4G15415; O04377; O23394; Q8RW96	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' gamma isoform OS=Arabidopsis thaliana OX=3702 GN=B'GAMMA PE=1 SV=2	64.617	247	17	7	6.045	2.6	4.78505570805297E-07	5.18939291538345E-08	28025770.021827	4636279.45017033	13.27	17.04	22351307.0225924	28025770.021827	28735792.0595551	5648730.25897274	4636279.45017033	4039148.08778807	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
Q9XES1	ath:AT1G07670; Q9LQP2; Q9XES1	Calcium-transporting ATPase 4, endoplasmic reticulum-type OS=Arabidopsis thaliana OX=3702 GN=ECA4 PE=2 SV=2	367.948	2219	40	13	3.472	1.8	6.18527229128575E-07	6.73266888906454E-08	169227258.024327	48738087.8315974	18.41	27.52	226752886.694125	169227258.024327	165200753.470697	48738087.8315974	37619784.2156053	65262697.725512	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q4PSX0	ath:AT1G69900; Q4PSX0	Actin cross-linking protein OS=Arabidopsis thaliana OX=3702 GN=At1g69900 PE=1 SV=1	34.348	112	8	8	0.188	-2.41	7.29702220498053E-07	7.95740271453127E-08	5281143.7286309	28102634.8571844	64.05	19.4	5281143.7286309	2336900.321183	9672382.38809827	28102634.8571844	30775002.1431855	20819166.3960223	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9XI07	ath:AT1G21700; Q9XI07	SWI/SNF complex subunit SWI3C OS=Arabidopsis thaliana OX=3702 GN=SWI3C PE=1 SV=1	70.734	328	12	12	0.241	-2.05	7.63931834584868E-07	8.33449631532091E-08	10966737.3937582	45450492.2251015	38.27	20.95	11005670.6656532	10966737.3937582	5022072.66072772	45450492.2251015	58432882.9159565	38845551.0749861	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SU83	ath:AT4G29680; Q9SU83	Alkaline-phosphatase-like family protein OS=Arabidopsis thaliana OX=3702 GN=At4g29680 PE=1 SV=1	40.758	184	12	11	4.704	2.23	8.01941075768604E-07	8.75318684201432E-08	40627230.9958476	8636787.42209347	15.08	22.22	42386852.9102495	40627230.9958476	31639462.4676899	8356135.36307556	8636787.42209347	12238951.3723632	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	16
Q9LJX4	Q0WRA5; Q9LJX4	Pumilio homolog 5 OS=Arabidopsis thaliana OX=3702 GN=APUM5 PE=1 SV=2	136.177	741	23	21	0.267	-1.91	8.28873507392512E-07	9.05958743580015E-08	39496342.4594295	147969578.854196	12.04	29.97	34715154.9186045	44217542.3985641	39496342.4594295	191502329.177317	147969578.854196	103071248.082837	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q94AI6	ath:AT1G71820; Q8RVQ6; Q94AI6; Q9M9G4	Exocyst complex component SEC6 OS=Arabidopsis thaliana OX=3702 GN=SEC6 PE=1 SV=1	337.718	1668	40	40	3.472	1.8	9.10132760632862E-07	9.96595372892983E-08	615852840.972134	177384696.881952	7.92	35.6	693041963.556804	615852840.972134	598363772.715235	177384696.881952	148145272.518758	285825575.688648	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9XIG1	ath:AT1G43620; Q9XIG1	Sterol 3-beta-glucosyltransferase UGT80B1 OS=Arabidopsis thaliana OX=3702 GN=UGT80B1 PE=2 SV=1	57.106	181	10	10	6.119	2.61	1.07358359805855E-06	1.17879479066829E-07	24762541.0135425	4047116.50761222	20.33	41.83	21688477.5154871	32046910.6438028	24762541.0135425	4047116.50761222	3389833.6993154	7210072.61383568	High	High	High	Peak Found	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	16
