Accession	Description	MW [kDa]	calc. pI
Q93Z74	AT3g27570/MMJ24_12 OS=Arabidopsis thaliana OX=3702 GN=At3g27570 PE=1 SV=1	37.1	5.31
Q93V93	Peroxidase 44 OS=Arabidopsis thaliana OX=3702 GN=PER44 PE=2 SV=1	33.8	9.94
Q8VYW6	Glutathione hydrolase 1 OS=Arabidopsis thaliana OX=3702 GN=GGT1 PE=2 SV=1	61.2	9.51
F4JCE9	AP-5 complex subunit beta-1 OS=Arabidopsis thaliana OX=3702 GN=At3g19870 PE=1 SV=1	122.2	5.57
Q9ZSJ7	AT3g24160/MUJ8_16 OS=Arabidopsis thaliana OX=3702 GN=PMP PE=1 SV=1	39.1	4.84
Q9FIZ7	5-oxoprolinase OS=Arabidopsis thaliana OX=3702 GN=OXP1 PE=1 SV=1	137.4	5.86
Q8VZV6	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g19290 PE=1 SV=1	36.6	6.79
Q9M324	Serine/threonine-protein kinase BSK6 OS=Arabidopsis thaliana OX=3702 GN=BSK6 PE=1 SV=1	54.8	6.54
O82772	Probable inactive beta-glucosidase 25 OS=Arabidopsis thaliana OX=3702 GN=BGLU25 PE=2 SV=1	59.8	6.54
Q949P2	Probable cytosolic oligopeptidase A OS=Arabidopsis thaliana OX=3702 GN=CYOP PE=1 SV=1	79	5.63
Q9FJI5	Glucose-6-phosphate 1-dehydrogenase 6, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=G6PD6 PE=1 SV=1	59.1	6.43
Q9FME4	Pentatricopeptide repeat-containing protein PNM1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PNM1 PE=1 SV=1	59.1	9.33
Q9ZW34	Cytosolic enolase 3 OS=Arabidopsis thaliana OX=3702 GN=ENO3 PE=1 SV=1	51.6	5.52
O80852	Glutathione S-transferase F9 OS=Arabidopsis thaliana OX=3702 GN=GSTF9 PE=1 SV=1	24.1	6.65
Q9SMT7	Oxalate--CoA ligase OS=Arabidopsis thaliana OX=3702 GN=AAE3 PE=1 SV=1	55.5	6.54
Q8L4R9	BAT2 domain protein OS=Arabidopsis thaliana OX=3702 GN=At2g15860 PE=1 SV=1	55.5	4.75
A0A1P8B4A5	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g24100 PE=1 SV=1	80.6	7.68
Q9FFV2	Trafficking protein particle complex subunit OS=Arabidopsis thaliana OX=3702 GN=MBG8.1 PE=1 SV=1	20.7	4.46
Q8LEM7	Calcineurin B-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=CBL3 PE=1 SV=2	26	4.93
Q9M125	AT4g01560/F11O4_6 OS=Arabidopsis thaliana OX=3702 GN=MEE49 PE=1 SV=1	39.8	9.67
Q9STT2	Vacuolar protein sorting-associated protein 29 OS=Arabidopsis thaliana OX=3702 GN=VPS29 PE=2 SV=1	21	6.52
Q9FNH2	Ribosome biogenesis protein NSA2 homolog OS=Arabidopsis thaliana OX=3702 GN=MHF15.12 PE=1 SV=1	29.7	10.15
Q9SR40	Laccase-7 OS=Arabidopsis thaliana OX=3702 GN=LAC7 PE=2 SV=1	62.4	8.92
Q43348	Acid beta-fructofuranosidase 3, vacuolar OS=Arabidopsis thaliana OX=3702 GN=BFRUCT3 PE=2 SV=1	72.2	5.6
Q9C9U4	Mitogen-activated protein kinase 15 OS=Arabidopsis thaliana OX=3702 GN=MPK15 PE=1 SV=3	65.2	8.53
Q9LK30	At3g27230 OS=Arabidopsis thaliana OX=3702 GN=At3g27230 PE=1 SV=1	45.8	9.2
Q8RWS4	Bystin OS=Arabidopsis thaliana OX=3702 GN=ENP1 PE=1 SV=1	51.4	6.43
Q8W117	Suppressor of mec-8 and unc-52 protein homolog 1 OS=Arabidopsis thaliana OX=3702 GN=SMU1 PE=1 SV=1	57.7	6.99
Q9FFK7	Signal recognition particle receptor subunit beta OS=Arabidopsis thaliana OX=3702 GN=MJJ3.7 PE=1 SV=1	29.1	7.84
Q9LD57	Phosphoglycerate kinase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGK1 PE=1 SV=1	50.1	6.24
Q9SCW1	Beta-galactosidase 1 OS=Arabidopsis thaliana OX=3702 GN=BGAL1 PE=2 SV=1	93.6	8.53
Q9SIJ8	Adenine nucleotide alpha hydrolases-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=RD2 PE=1 SV=2	20.6	5.62
Q9FNP8	40S ribosomal protein S19-3 OS=Arabidopsis thaliana OX=3702 GN=RPS19C PE=2 SV=1	15.7	10.21
O64631	At2g45510 OS=Arabidopsis thaliana OX=3702 GN=CYP704A2 PE=1 SV=1	59	6.99
P59233	Ubiquitin-40S ribosomal protein S27a-3 OS=Arabidopsis thaliana OX=3702 GN=RPS27AC PE=2 SV=2	17.8	9.8
Q9FZD1	Pentatricopeptide repeat-containing protein At1g26460, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At1g26460 PE=1 SV=1	70.2	6.27
Q9FT93	KRR1 small subunit processome component OS=Arabidopsis thaliana OX=3702 GN=At5g08420 PE=1 SV=1	45.3	9.5
Q9LS94	Ras-related protein RABG3f OS=Arabidopsis thaliana OX=3702 GN=RABG3F PE=1 SV=1	23.1	5.08
Q9C6C2	DNA-directed RNA polymerase family protein OS=Arabidopsis thaliana OX=3702 GN=AAC42 PE=1 SV=1	41.8	5.73
Q9LU25	DNA-directed RNA polymerase subunit beta OS=Arabidopsis thaliana OX=3702 GN=At3g16200 PE=1 SV=1	52.1	8.32
Q9SIZ2	Eukaryotic translation initiation factor 2 subunit alpha homolog OS=Arabidopsis thaliana OX=3702 GN=At2g40290 PE=1 SV=2	38.7	5.16
Q8GWB7	Inositol phosphorylceramide glucuronosyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=IPUT1 PE=1 SV=1	60	8.88
Q9M1J8	At3g57000 OS=Arabidopsis thaliana OX=3702 GN=F24I3.80 PE=1 SV=1	33.8	7.8
A0A2H1ZEE1	Phospholipase A I-like protein OS=Arabidopsis thaliana OX=3702 GN=At1g61850 PE=1 SV=1	149.7	5.8
F4IZR5	Protein EXPORTIN 1B OS=Arabidopsis thaliana OX=3702 GN=XPO1B PE=2 SV=1	123.1	5.81
Q9LJP2	GDSL esterase/lipase At3g14220 OS=Arabidopsis thaliana OX=3702 GN=At3g14220 PE=2 SV=1	40.2	6.84
Q0WQ07	Cytochrome P450 705A1 OS=Arabidopsis thaliana OX=3702 GN=CYP705A1 PE=2 SV=1	58.5	6.9
A5HEI1	Sister chromatid cohesion protein SCC2 OS=Arabidopsis thaliana OX=3702 GN=SCC2 PE=1 SV=1	206.6	6.92
Q9SIL6	Prohibitin-6, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PHB6 PE=1 SV=1	31.6	9.64
A0A1P8B209	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g22795 PE=1 SV=1	79.5	4.34
Q9ZWT2	Cytochrome B5 isoform D OS=Arabidopsis thaliana OX=3702 GN=CYTB5-D PE=1 SV=1	15.1	5.14
Q9FLW9	Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana OX=3702 GN=PKP2 PE=1 SV=1	63.5	7.03
Q9ZUY6	UDP-D-apiose/UDP-D-xylose synthase 1 OS=Arabidopsis thaliana OX=3702 GN=AXS1 PE=1 SV=1	43.6	5.73
P50883	60S ribosomal protein L12-1 OS=Arabidopsis thaliana OX=3702 GN=RPL12A PE=2 SV=2	17.9	8.97
Q9LSP8	Calmodulin-binding transcription activator 6 OS=Arabidopsis thaliana OX=3702 GN=CAMTA6 PE=1 SV=1	95.3	8.43
Q8GUM4	Uncharacterized membrane protein At3g27390 OS=Arabidopsis thaliana OX=3702 GN=At3g27390 PE=1 SV=2	65.5	8.16
Q9M2F1	40S ribosomal protein S27-2 OS=Arabidopsis thaliana OX=3702 GN=RPS27B PE=2 SV=2	9.6	8.72
Q9ZSI6	At4g01700 OS=Arabidopsis thaliana OX=3702 GN=At4g01700 PE=1 SV=1	31.4	8.82
A0A1P8B527	Adenylyl cyclase OS=Arabidopsis thaliana OX=3702 GN=At4g15640 PE=1 SV=1	37.1	7.75
Q9LMM0	Glycerol-3-phosphate 2-O-acyltransferase 4 OS=Arabidopsis thaliana OX=3702 GN=GPAT4 PE=1 SV=1	56.2	9.1
Q8W110	Ferric reduction oxidase 4 OS=Arabidopsis thaliana OX=3702 GN=FRO4 PE=2 SV=1	80.2	9.39
F4J8L1	C18orf8 OS=Arabidopsis thaliana OX=3702 GN=At3g12010 PE=1 SV=1	76.4	5.77
O49457	DNAJ heat shock family protein OS=Arabidopsis thaliana OX=3702 GN=At4g28480 PE=1 SV=1	38.2	8.91
Q8VY57	ADP-ribosylation factor-like protein 8a OS=Arabidopsis thaliana OX=3702 GN=ARL8A PE=2 SV=1	20.4	7.78
F4I2J8	Cactin OS=Arabidopsis thaliana OX=3702 GN=CTN PE=1 SV=1	83.4	6.92
F4J5M9	Clathrin light chain 3 OS=Arabidopsis thaliana OX=3702 GN=At3g51890 PE=1 SV=1	29.2	5.39
Q9ZRE2	Ras-related protein RABD1 OS=Arabidopsis thaliana OX=3702 GN=RABD1 PE=1 SV=1	22.7	5.27
F4HXP9	Myosin-9 OS=Arabidopsis thaliana OX=3702 GN=XI-C PE=2 SV=1	174.5	9
Q9LUQ6	60S ribosomal protein L19-2 OS=Arabidopsis thaliana OX=3702 GN=RPL19B PE=2 SV=1	24.3	11.24
Q8LG50	1-acyl-sn-glycerol-3-phosphate acyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=LPAT2 PE=1 SV=2	43.6	9.2
B3H7H1	AT3G07300 protein OS=Arabidopsis thaliana OX=3702 GN=At3g07300 PE=1 SV=1	43.8	6
O04313	PYK10-binding protein 2 OS=Arabidopsis thaliana OX=3702 GN=PBP2 PE=1 SV=1	32.2	6.29
Q9LUL4	Protein STRUBBELIG-RECEPTOR FAMILY 7 OS=Arabidopsis thaliana OX=3702 GN=SRF7 PE=1 SV=1	77.6	6.7
Q2QAV0	Serine/threonine-protein kinase TIO OS=Arabidopsis thaliana OX=3702 GN=TIO PE=1 SV=1	145.3	7.42
Q9SS67	Peroxidase 28 OS=Arabidopsis thaliana OX=3702 GN=PER28 PE=2 SV=1	34.5	5.21
O04905	UMP-CMP kinase 3 OS=Arabidopsis thaliana OX=3702 GN=UMK3 PE=1 SV=1	22.5	6.01
Q9FHI7	Probable disease resistance protein At5g45490 OS=Arabidopsis thaliana OX=3702 GN=At5g45490 PE=2 SV=1	40.4	5.82
Q9CA75	Probable xyloglucan 6-xylosyltransferase 5 OS=Arabidopsis thaliana OX=3702 GN=XXT5 PE=1 SV=1	51.7	7.28
Q93VT6	Ribosomal RNA small subunit methyltransferase J OS=Arabidopsis thaliana OX=3702 GN=MAH20.10 PE=1 SV=1	38.6	5.85
Q8VY89	Anaphase-promoting complex subunit 7 OS=Arabidopsis thaliana OX=3702 GN=APC7 PE=2 SV=1	62.3	6.81
F4HS76	Glycerol kinase OS=Arabidopsis thaliana OX=3702 GN=NHO1 PE=1 SV=1	52.5	6.55
Q9SHJ6	Peroxisomal and mitochondrial division factor 2 OS=Arabidopsis thaliana OX=3702 GN=PMD2 PE=1 SV=1	36.1	4.81
Q9LRP1	Novel plant SNARE 13 OS=Arabidopsis thaliana OX=3702 GN=NPSN13 PE=1 SV=1	30.4	7.33
Q8RWD5	Coiled-coil domain-containing protein SCD2 OS=Arabidopsis thaliana OX=3702 GN=SCD2 PE=1 SV=1	63.7	6.13
Q8VZT0	Putative H/ACA ribonucleoprotein complex subunit 1-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g03920 PE=2 SV=1	21	11.41
F4II29	Kinase family with ARM repeat domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=CTEXP PE=1 SV=1	86	7.85
Q94AD1	Putative DNA-binding protein At1g48610 OS=Arabidopsis thaliana OX=3702 GN=At1g48610 PE=1 SV=1	21.7	11.41
O65902	Cyclase-associated protein 1 OS=Arabidopsis thaliana OX=3702 GN=CAP1 PE=2 SV=1	50.9	6.65
Q9FKE6	Cyclin-T1-5 OS=Arabidopsis thaliana OX=3702 GN=CYCT1-5 PE=1 SV=2	65.1	7.28
F4INI6	Ribonuclease II family protein OS=Arabidopsis thaliana OX=3702 GN=EMB2763 PE=1 SV=1	113.9	6.79
Q5E924	Glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GAPCP2 PE=2 SV=1	44.8	8.62
Q8LPJ3	Probable alpha-mannosidase At5g13980 OS=Arabidopsis thaliana OX=3702 GN=At5g13980 PE=2 SV=1	115.8	6.44
O23237	Peroxidase 49 OS=Arabidopsis thaliana OX=3702 GN=PER49 PE=2 SV=2	36.1	8.38
P48641	Glutathione reductase, cytosolic OS=Arabidopsis thaliana OX=3702 GN=At3g24170 PE=1 SV=1	53.8	6.8
O81645	Villin-3 OS=Arabidopsis thaliana OX=3702 GN=VLN3 PE=1 SV=2	106.3	5.85
Q9LIP6	Cytochrome P450 71B34 OS=Arabidopsis thaliana OX=3702 GN=CYP71B34 PE=2 SV=1	57.1	7.33
Q94BP3	Long-chain-alcohol oxidase FAO4B OS=Arabidopsis thaliana OX=3702 GN=FAO4B PE=2 SV=2	81.9	7.42
Q0WML0	ABC transporter B family member 27 OS=Arabidopsis thaliana OX=3702 GN=ABCB27 PE=1 SV=1	69.1	8.09
A0A1P8B5L9	Alanine:glyoxylate aminotransferase 2 OS=Arabidopsis thaliana OX=3702 GN=AGT2 PE=1 SV=1	43.3	6.58
A9X4U2	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 3 OS=Arabidopsis thaliana OX=3702 GN=3BETAHSD/D3 PE=2 SV=2	63	7.69
Q9LFH5	60S ribosomal protein L12-2 OS=Arabidopsis thaliana OX=3702 GN=RPL12B PE=1 SV=1	18	8.97
Q9FHX0	Microsomal prostaglandin E synthase 2 OS=Arabidopsis thaliana OX=3702 GN=MJC20.26 PE=1 SV=1	35.5	8.98
P28185	Ras-related protein RABA1a OS=Arabidopsis thaliana OX=3702 GN=RABA1A PE=1 SV=1	23.9	6.93
Q9CB01	Ras-related protein RABF1 OS=Arabidopsis thaliana OX=3702 GN=RABF1 PE=1 SV=1	21.9	6.58
Q94BR1	MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 1 OS=Arabidopsis thaliana OX=3702 GN=MRF1 PE=1 SV=1	77.5	5.22
Q9ASS4	Probably inactive leucine-rich repeat receptor-like protein kinase At5g48380 OS=Arabidopsis thaliana OX=3702 GN=At5g48380 PE=1 SV=1	69.1	7.3
B5BT18	TATA-binding protein-associated factor BTAF1 OS=Arabidopsis thaliana OX=3702 GN=BTAF1 PE=1 SV=1	226.9	5.82
Q4V3D9	Protein STRICTOSIDINE SYNTHASE-LIKE 10 OS=Arabidopsis thaliana OX=3702 GN=SSL10 PE=2 SV=1	41	7.9
Q4V3C7	DUF21 domain-containing protein At4g14230 OS=Arabidopsis thaliana OX=3702 GN=CBSDUF2 PE=2 SV=1	53.5	6.55
Q8RWB7	Probable methyltransferase At1g29790 OS=Arabidopsis thaliana OX=3702 GN=CLSC5 PE=2 SV=1	41.9	9.39
F4JCU6	ROOT GROWTH DEFECTIVE 3 OS=Arabidopsis thaliana OX=3702 GN=RGD3 PE=1 SV=1	236.4	5.78
Q9FLF0	40S ribosomal protein S9-2 OS=Arabidopsis thaliana OX=3702 GN=RPS9C PE=1 SV=1	23.1	10.35
Q8L7H7	Cytochrome P450, family 705, subfamily A, polypeptide 4 OS=Arabidopsis thaliana OX=3702 GN=CYP705A4 PE=1 SV=1	59.2	8.73
Q9C512	Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS1 OS=Arabidopsis thaliana OX=3702 GN=MNS1 PE=1 SV=1	63.5	6.49
Q5XEV4	At1g65030 OS=Arabidopsis thaliana OX=3702 GN=At1g65030 PE=1 SV=1	37.4	6.9
Q9ZSJ0	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase OS=Arabidopsis thaliana OX=3702 GN=RGXT2 PE=1 SV=1	41.8	8.63
Q949Q1	Hexosyltransferase GAUT11 OS=Arabidopsis thaliana OX=3702 GN=GAUT11 PE=1 SV=1	61.8	8.05
O80517	Uclacyanin-2 OS=Arabidopsis thaliana OX=3702 GN=At2g44790 PE=2 SV=1	20.3	6.28
Q8RY12	AT5g20600/F7C8_190 OS=Arabidopsis thaliana OX=3702 GN=At5g20600 PE=1 SV=1	60	9.5
Q6NQE2	Probable NAD(P)H dehydrogenase (quinone) FQR1-like 1 OS=Arabidopsis thaliana OX=3702 GN=At4g27270 PE=1 SV=1	21.8	6.54
Q8H0Y1	Outer envelope pore protein 24B, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=OEP24B PE=2 SV=1	23.4	9.2
Q9SB64	Protein NBR1 homolog OS=Arabidopsis thaliana OX=3702 GN=NBR1 PE=1 SV=1	76.1	5.5
Q8VWF6	Protein STRICTOSIDINE SYNTHASE-LIKE 3 OS=Arabidopsis thaliana OX=3702 GN=SSL3 PE=2 SV=1	44	8.02
Q9ZUP2	DNA repair protein recA homolog 3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g19490 PE=2 SV=2	46.1	8.09
P93031	GDP-mannose 4,6 dehydratase 2 OS=Arabidopsis thaliana OX=3702 GN=MUR1 PE=1 SV=3	41.9	6.11
F4INF9	DNA helicase OS=Arabidopsis thaliana OX=3702 GN=MCM5 PE=1 SV=1	80.8	7.44
F4J8L3	Kinesin-like protein KIN-7K, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7K PE=2 SV=1	108.4	6.14
F4JFW6	OSBP(Oxysterol binding protein)-related protein 1C OS=Arabidopsis thaliana OX=3702 GN=ORP1C PE=1 SV=1	92.6	6.6
Q8GYG1	Transmembrane emp24 domain-containing protein p24delta7 OS=Arabidopsis thaliana OX=3702 GN=At1g14010 PE=2 SV=1	24.1	6.8
Q9FNN1	Pyruvate kinase OS=Arabidopsis thaliana OX=3702 GN=MAH20.13 PE=1 SV=1	54.9	6.29
A0A1I9LQ40	Phospholipase OS=Arabidopsis thaliana OX=3702 GN=PLDP1 PE=1 SV=1	129.6	6.92
Q8VYS4	Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At1g27470 PE=1 SV=1	89.7	7.14
Q5XEP9	3-ketoacyl-CoA synthase 2 OS=Arabidopsis thaliana OX=3702 GN=KCS2 PE=2 SV=2	59.5	9.19
Q8L403	Uncharacterized protein At1g15425 OS=Arabidopsis thaliana OX=3702 GN=At1g15420 PE=1 SV=1	30.3	4.32
Q9LVU1	Vesicle-associated protein 2-1 OS=Arabidopsis thaliana OX=3702 GN=PVA21 PE=1 SV=1	24.7	8.62
Q8GXG9	YbaK/aminoacyl-tRNA synthetase-associated domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g44835 PE=1 SV=1	33.7	8.43
Q9FMP3	Dihydropyrimidinase OS=Arabidopsis thaliana OX=3702 GN=PYD2 PE=1 SV=1	58	5.9
Q9FFV8	At5g38640 OS=Arabidopsis thaliana OX=3702 GN=MBB18.19 PE=1 SV=1	69.5	9.39
F4I4Q1	Protein MAK16 homolog OS=Arabidopsis thaliana OX=3702 GN=At1g23280 PE=1 SV=1	35.7	5.8
A0A2H1ZE93	Insulinase (Peptidase family M16) protein OS=Arabidopsis thaliana OX=3702 GN=MIK19.18 PE=1 SV=1	113.5	5.66
A2RVJ8	Protein HEAT INTOLERANT 4 OS=Arabidopsis thaliana OX=3702 GN=HIT4 PE=1 SV=1	50.5	4.97
Q93Z30	AT4g18950/F13C5_120 OS=Arabidopsis thaliana OX=3702 GN=At4g18950 PE=1 SV=1	52.6	6.09
A0A1P8B6J9	Sensitive to freezing 6 OS=Arabidopsis thaliana OX=3702 GN=SFR6 PE=1 SV=1	137	6.2
Q1G3F7	Transferases/nucleotidyltransferase OS=Arabidopsis thaliana OX=3702 GN=At5g19485 PE=1 SV=1	49	7.49
Q8GXW8	Ankyrin repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At1g04780 PE=1 SV=1	74.3	8.21
F4JIN3	DnaJ protein ERDJ2B OS=Arabidopsis thaliana OX=3702 GN=ERDJ2B PE=1 SV=1	74.8	5.57
Q9LME4	Probable protein phosphatase 2C 9 OS=Arabidopsis thaliana OX=3702 GN=At1g22280 PE=1 SV=1	30.7	7.17
O80858	Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g30930 PE=1 SV=1	16.9	5.03
F4K4Y5	DEK domain-containing chromatin associated protein OS=Arabidopsis thaliana OX=3702 GN=MDF20.10 PE=1 SV=1	87.2	4.81
B9DG21	Aspartate aminotransferase OS=Arabidopsis thaliana OX=3702 GN=ASP5 PE=1 SV=1	50.9	7.53
O24633	Proteasome subunit beta type-2-B OS=Arabidopsis thaliana OX=3702 GN=PBD2 PE=1 SV=1	22	6.68
Q9SU93	Nucleophosmin OS=Arabidopsis thaliana OX=3702 GN=At4g29520 PE=1 SV=1	34.3	7.83
Q8W475	SWI/SNF complex subunit SWI3A OS=Arabidopsis thaliana OX=3702 GN=SWI3A PE=1 SV=1	57.4	4.89
F4ICJ5	Di-glucose binding protein with Leucine-rich repeat domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g25570 PE=1 SV=1	68.9	5.45
Q93Y31	ADP-ribosylation factor-like protein 8b OS=Arabidopsis thaliana OX=3702 GN=ARL8B PE=2 SV=1	20.4	7.78
Q9LIC7	PRA1 family protein F4 OS=Arabidopsis thaliana OX=3702 GN=PRA1F4 PE=2 SV=1	21	8.56
F4JJR8	Dehydrogenase/reductase SDR family member FEY OS=Arabidopsis thaliana OX=3702 GN=FEY PE=1 SV=1	41.5	5.67
Q9C8H3	FT-interacting protein 4 OS=Arabidopsis thaliana OX=3702 GN=FTIP4 PE=1 SV=1	89.1	9.03
Q1ECE0	Vesicle-associated protein 4-1 OS=Arabidopsis thaliana OX=3702 GN=PVA41 PE=2 SV=1	30.2	9.89
P93033	Fumarate hydratase 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=FUM1 PE=1 SV=2	53	7.88
F4HWU0	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g48210 PE=1 SV=1	39.6	8.76
Q8LB02	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SDH2-2 PE=1 SV=2	31.1	8.62
A0A1I9LMU3	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g48410 PE=1 SV=1	48.6	8.81
Q9SU08	Auxilin-related protein 1 OS=Arabidopsis thaliana OX=3702 GN=AUXI1 PE=1 SV=2	99.8	6.61
Q43291	60S ribosomal protein L21-1 OS=Arabidopsis thaliana OX=3702 GN=RPL21A PE=2 SV=2	18.6	10.46
O65655	SAP domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At4g39680 PE=1 SV=1	69.4	4.97
Q9LTR2	Protein TRIGALACTOSYLDIACYLGLYCEROL 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TGD2 PE=1 SV=1	41.6	8.69
Q0WQ57	Auxilin-related protein 2 OS=Arabidopsis thaliana OX=3702 GN=At4g12770 PE=1 SV=1	98.3	6.77
Q945N1	AT5g50310/MXI22_1 OS=Arabidopsis thaliana OX=3702 GN=MXI22.1 PE=1 SV=1	76.1	5.31
O64691	AT2G34560 protein OS=Arabidopsis thaliana OX=3702 GN=CCP1 PE=1 SV=2	42.8	5.81
B9DGC0	AT2G34560 protein OS=Arabidopsis thaliana OX=3702 GN=CCP1 PE=1 SV=1	44	5.81
Q94CE5	Gamma-aminobutyrate transaminase POP2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=POP2 PE=1 SV=1	55.2	7.94
Q940S9	TBCC domain-containing protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g57890 PE=1 SV=1	62.7	5.55
Q84W56	Ribonuclease J OS=Arabidopsis thaliana OX=3702 GN=RNJ PE=1 SV=1	100.5	8.22
Q9SS37	Reticulon-like protein B8 OS=Arabidopsis thaliana OX=3702 GN=RTNLB8 PE=2 SV=1	27.9	8.63
Q93Z18	Casein kinase 1-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=CKL3 PE=1 SV=1	46.9	9.38
O04153	Calreticulin-3 OS=Arabidopsis thaliana OX=3702 GN=CRT3 PE=1 SV=2	49.8	6.13
Q8GY84	DEAD-box ATP-dependent RNA helicase 10 OS=Arabidopsis thaliana OX=3702 GN=RH10 PE=1 SV=2	51.1	8.94
P42339	Phosphatidylinositol 3-kinase VPS34 OS=Arabidopsis thaliana OX=3702 GN=VPS34 PE=1 SV=2	93.3	6.77
Q9SA18	Bifunctional aspartokinase/homoserine dehydrogenase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AKHSDH1 PE=1 SV=1	99.3	6.77
Q9FPF0	Protein DJ-1 homolog A OS=Arabidopsis thaliana OX=3702 GN=DJ1A PE=1 SV=1	41.8	5.41
Q9LK57	Pentatricopeptide repeat-containing protein At3g13160, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At3g13160 PE=1 SV=1	44.9	8.03
Q9FXD1	Signal recognition particle subunit SRP72 OS=Arabidopsis thaliana OX=3702 GN=At1g67650 PE=1 SV=1	71.8	8.72
Q8VZ19	60S ribosomal protein L30-2 OS=Arabidopsis thaliana OX=3702 GN=RPL30B PE=3 SV=1	12.3	9.58
Q67YI9	Clathrin interactor EPSIN 2 OS=Arabidopsis thaliana OX=3702 GN=EPSIN2 PE=1 SV=1	95.4	5.96
Q9S9N1	Heat shock 70 kDa protein 5 OS=Arabidopsis thaliana OX=3702 GN=HSP70-5 PE=2 SV=1	70.9	5.41
Q42438	Calcium-dependent protein kinase 8 OS=Arabidopsis thaliana OX=3702 GN=CPK8 PE=1 SV=1	59.9	6.35
Q9SUC6	Berberine bridge enzyme-like 22 OS=Arabidopsis thaliana OX=3702 GN=FAD-OXR PE=2 SV=1	60.4	9.04
Q8RXI0	AAA-type ATPase family protein OS=Arabidopsis thaliana OX=3702 GN=At5g16930 PE=1 SV=1	70.9	9.52
O04157	Ras-related protein RABG3b OS=Arabidopsis thaliana OX=3702 GN=RABG3B PE=1 SV=1	22.9	5.48
Q5S2C3	Protein PIR OS=Arabidopsis thaliana OX=3702 GN=PIR PE=1 SV=2	145.4	5.96
Q9FF52	60S ribosomal protein L12-3 OS=Arabidopsis thaliana OX=3702 GN=RPL12C PE=2 SV=1	17.8	8.92
Q8LFC0	Isocitrate dehydrogenase [NAD] regulatory subunit 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=IDH1 PE=1 SV=2	39.6	8.13
F4JNL5	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g23540 PE=1 SV=1	123.4	7.4
P93303	ATP synthase protein YMF19 OS=Arabidopsis thaliana OX=3702 GN=YMF19 PE=1 SV=1	18.2	9.61
Q9LZA4	Probable methyltransferase PMT7 OS=Arabidopsis thaliana OX=3702 GN=At5g04060 PE=2 SV=1	68.3	6.9
F4KAQ8	Gamma carbonic anhydrase like 1 OS=Arabidopsis thaliana OX=3702 GN=GAMMA CAL1 PE=1 SV=1	30.5	9.01
F4JRG0	Chaperone DnaJ-domain superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g12780 PE=1 SV=1	98.9	7.06
Q8L5R3	Tubulin-folding cofactor D OS=Arabidopsis thaliana OX=3702 GN=TFCD PE=2 SV=1	139.8	6.27
