Protein	Subcellular.location	Transmembrane	log2_rbohC	log2_rbohF	log2_WT	Protein.names
Q9LVI8	Cytoplasm.		0.91	0	0	Glutamine synthetase cytosolic isozyme 1-3 (GS1) (EC 6.3.1.2) (Glutamate--ammonia ligase GLN1;3) (GLN1;3)
A0A1P8B9C1	Cytoplasm, Nucleus		-6.64	0	0	glutathione transferase (EC 2.5.1.18)
A0A1P8AY30	Membrane; Multi-pass membrane protein.	TRUE	-6.64	0	0	Auxin efflux carrier component
O23357	Secreted.		-6.64	0	0	Subtilisin-like protease SBT4.2 (EC 3.4.21.-) (Subtilase subfamily 4 member 2) (AtSBT4.2)
O64580	Unknown		6.64	0	0	At2g19460 (DUF3511 domain protein (DUF3511)) (Expressed protein) (Uncharacterized protein At2g19460)
Q8L7T5	Cytoplasm, Chloroplast		4.42	0	0	At1g07990/T6D22_5 (SIT4 phosphatase-associated family protein)
Q8L517	Mitochondrion		-6.64	0	0	AFG1-like ATPase family protein (Uncharacterized protein At4g30490)
Q96303	Cell membrane; Multi-pass membrane protein. Localizes at the plasma membrane, where it interacts with NLA.	TRUE	-6.64	0	0	Inorganic phosphate transporter 1-4 (AtPht1;4) (H(+)/Pi cotransporter)
Q9LSD8	Cell membrane; Lipid-anchor.		-6.64	0	0	Membrane-anchored ubiquitin-fold protein 4 (AtMUB4) (Membrane-anchored ub-fold protein 4)
Q66GP5	Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytoskeleton, spindle pole.		-6.64	0	0	TBCC domain-containing protein 1
A0A1P8BEE3	Nucleus.	TRUE	6.64	0	0	Cam-binding protein 60-like G
Q9SI67	Unknown		-6.64	0	0	Ankyrin repeat/KH domain protein (DUF1442) (At1g62840) (F23N19.19) (Uncharacterized protein At1g62840)
A0A1I9LLC5	Nucleus		-6.64	0	0	Stress response protein nst1
Q9SJ96	Nucleus.		6.64	0	0	DNA-directed RNA polymerases II and V subunit 6B
Q9C5I1	Chloroplast		6.64	0	0	UDP-sugar pyrophosphorylase (AtUSP) (EC 2.7.7.64)
F4JQE9	Cell_membrane		-6.64	0	0	AAA-type ATPase family protein
Q9SJA6	Nucleus.		2.22	0	0	Serine/arginine-rich splicing factor RSZ22A (RS-containing zinc finger protein 22A) (At-RSZ22a) (At-RSZp22a) (AtRSZ22a)
Q9SJE9	Cell membrane; Multi-pass membrane protein.	TRUE	-6.64	0	0	Aluminum-activated malate transporter 1 (AtALMT1)
Q9T0F7	Golgi apparatus membrane; Single-pass membrane protein.	TRUE	-4.56	0	0	Glucuronoxylan 4-O-methyltransferase 2 (EC 2.1.1.112)
Q9SSC1	Unknown		2.15	0	0	MAPK kinase substrate protein At1g80180
Q8H1F1	Nucleus, Mitochondrion		2.61	0	0	AP-5 complex subunit zeta-1 (Uncharacterized protein At3g15160)
O22807	Golgi apparatus membrane; Single-pass membrane protein.	TRUE	-2.62	0	0	Galactan beta-1,4-galactosyltransferase GALS1 (EC 2.4.1.-) (Beta-1,4-galactan synthase) (Galactan synthase 1)
P02769	Secreted.		1.84	0	0	Albumin (BSA) (allergen Bos d 6)
O64651	Unknown		-2.83	0	0	ARM repeat superfamily protein (At2g45720) (Uncharacterized protein At2g45720)
Q9LJG8	Nucleus.		3.15	0	0	Trihelix transcription factor ASIL2 (6B-interacting protein 1-like 2) (Trihelix DNA-binding protein ASIL2)
O48726	Cytoplasm. Nucleus.		-3.97	0	0	26S proteasome regulatory subunit RPN13 (AtRPN13) (26S proteasome non-ATPase regulatory subunit 13)
Q9M1J9	Nucleus, nucleolus.		-1.6	0	0	AT3g56990/F24I3_70 (Embryo sac development arrest 7) (Uncharacterized protein F24I3.70)
A0A1P8APR1	Mitochondrion	TRUE	2.12	0	0	tRNA-processing ribonuclease BN
P38666	Cytoplasm. Nucleus. Nucleus, nucleolus. Nucleus, nucleoplasm.		-0.79	0	0	60S ribosomal protein L24-2 (Protein SHORT VALVE 1)
Q0WVM7	Nucleus.		1.19	0	0	Probable transcriptional regulator SLK1 (AtSLK1) (Protein SEUSS-like 1)
F4HPA7	Nucleus.		3.27	0	0	Mediator of RNA polymerase II transcription subunit 10b
A8MR92	Mitochondrion		3.37	0	0	Iron-sulfur cluster biosynthesis family protein
Q8W4C8	Late endosome membrane. Lysosome membrane. Cytoplasm, cytoskeleton, spindle. Localizes with microtubules at the spindle mid-zone during mitosis.		2.7	0	0	ADP-ribosylation factor-like protein 8c (AtARL8c) (ADP-ribosylation factor-like A1A) (AtARLA1A)
Q8H1Q4	Mitochondrion		-3.74	0	0	Leucine-rich repeat family protein (Uncharacterized protein At1g15740)
Q949U9	Membrane; Multi-pass membrane protein.	TRUE	-0.78	0	0	Mitochondrial substrate carrier family protein (Putative mitochondrial carrier protein)
A0A1P8B5K3	Membrane; Multi-pass membrane protein.	TRUE	-1.73	0	0	NOD26-like major intrinsic protein 1
Q8LC40	Unknown		-1.22	0	0	IGR motif protein (Uncharacterized protein At3g05810) (Uncharacterized protein At3g05810/F10A16_10)
Q06588	Cytoplasm		3.15	0	0	1-aminocyclopropane-1-carboxylate oxidase 4 (ACC oxidase) (EC 1.14.17.4) (Ethylene-forming enzyme) (EFE)
Q9SXC0	Unknown		1.37	0	0	NAD(P)-linked oxidoreductase superfamily protein (Putative Aldo/keto reductase)
Q9LJ42	Extracellular		-3.03	0	0	Probable pectate lyase 10 (EC 4.2.2.2)
Q9FG65	Membrane; Single-pass membrane protein.	TRUE	-2.3	0	0	Cytochrome P450 81D1 (EC 1.14.-.-)
F4J1N5	Cytoplasm.		-3.88	0	0	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)
Q9SLV3	Unknown	TRUE	1.36	0	0	At1g58270/F19C14_8 (F19C14.11 protein) (TRAF-like family protein) (Uncharacterized protein At1g58270) (ZW9 protein)
Q94K78	Mitochondrion inner membrane; Single-pass membrane protein.	TRUE	0.96	0	0	Cytochrome b-c1 complex subunit 10, mitochondrial (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c oxidoreductase subunit 10)
Q9FZ82	Unknown		0	-6.64	0	F25I16.5 protein (Galactose oxidase/kelch repeat superfamily protein)
Q9CAI3	Chloroplast		2.21	0	0	Probable cinnamyl alcohol dehydrogenase 1 (AtCAD1) (EC 1.1.1.195)
Q41951	Vacuole membrane; Multi-pass membrane protein. Tonoplast. It is specifically located in the tonoplast of protein storage vacuoles (PSV) (By similarity).	TRUE	-0.71	0	0	Aquaporin TIP2-1 (Delta-tonoplast intrinsic protein) (Delta-TIP) (Tonoplast intrinsic protein 2-1) (AtTIP2;1) [Cleaved into: Aquaporin TIP2-1, N-terminally processed]
Q9XIM7	Membrane; Multi-pass membrane protein.	TRUE	2.43	0	0	Cold-regulated 413 plasma membrane protein 1 (AtCOR413-PM1) (WCOR413-like protein)
P54969	Endoplasmic reticulum lumen.		0	1.84	0	IAA-amino acid hydrolase ILR1-like 1 (EC 3.5.1.-)
Q38950	Cytoplasm, cytosol. Nucleus. Peroxisome. Interacts with B'THETA in the cytosol and peroxisomal import occurs by a piggybacking transport.		-1.33	0	0	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (AtA beta) (PP2A, subunit A, beta isoform)
B9DFS6	Cytoplasm. Endosome membrane; Peripheral membrane protein; Cytoplasmic side. Prevacuolar compartment membrane; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein; Cytoplasmic side.		-1.38	0	0	Sorting nexin 2B
Q8RWW8	Cytoplasm.		-1.14	0	0	Rab3 GTPase-activating protein catalytic subunit
Q9SGA6	Nucleus		-0.9	0	0	40S ribosomal protein S19-1
Q9FGL5	Cell membrane; Single-pass membrane protein.	TRUE	0	5.21	0	Receptor protein-tyrosine kinase CEPR1 (EC 2.7.10.1) (Protein C-TERMINALLY ENCODED PEPTIDE RECEPTOR 1) (Protein XYLEM INTERMIXED WITH PHLOEM 1)
Q9M9N1	Golgi apparatus.		-1.49	0	0	ADP-ribosylation factor
Q8H1E1	Unknown		-1.88	0	0	DNA-directed RNA polymerase II protein (Uncharacterized protein At4g08540)
Q9FPW6	Cytoplasm		0.96	0	0	BTB/POZ domain-containing protein POB1 (POZ/BTB CONTAINING-PROTEIN 1) (AtPOB1)
Q8GUN7	Chloroplast		-3.95	0	0	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)
Q9LET7	Nucleus		-1.32	0	0	Calmodulin-interacting protein 111 (CaM-interacting protein 111) (ATPase family AAA domain-containing protein CIP111)
Q41188	Cytoplasm. Nucleus, nucleolus.		1.22	0	0	Cold shock protein 2 (AtCSP2) (Cold shock domain-containing protein 2) (Glycine-rich protein 2) (AtGRP2)
Q9M173	Membrane; Multi-pass membrane protein.	TRUE	-2.43	0	0	Protein NRT1/ PTR FAMILY 2.4 (AtNPF2.4) (Probable nitrate excretion transporter 5) (Protein NAXT1-like 4)
P92980	Plastid, chloroplast.		1.46	0	0	5'-adenylylsulfate reductase 3, chloroplastic (EC 1.8.4.9) (3'-phosphoadenosine-5'-phosphosulfate reductase homolog 26) (PAPS reductase homolog 26) (Prh-26) (Adenosine 5'-phosphosulfate 5'-adenylylsulfate sulfotransferase 3) (APS sulfotransferase 3) (Thioredoxin-independent APS reductase 3)
Q42538	Cytoplasm.		1.18	0	0	Serine acetyltransferase 5 (AtSAT-5) (EC 2.3.1.30) (AtSERAT1;1) (SAT-c)
Q9SHZ5	Nucleus.		-1.92	0	0	UBP1-associated proteins 1B
A0A219HZH3	Membrane; Multi-pass membrane protein. Plastid, chloroplast membrane; Multi-pass membrane protein.	TRUE	2.47	0	0	Glucose-6-phosphate/phosphate translocator-like protein
F4HTY0	Unknown		-0.82	0	0	SNARE-like superfamily protein
O23596	Membrane; Multi-pass membrane protein.	TRUE	-1.42	0	0	Putative glycerol-3-phosphate transporter 4 (G-3-P transporter 4) (Glycerol-3-phosphate permease 4) (AtG3Pp4) (G-3-P permease 4)
Q9FMA9	Secreted, extracellular space, apoplast.		0.86	0	0	Germin-like protein subfamily 1 member 10
Q9SF87	Nucleus		-1.77	0	0	AT3g09850/F8A24_10 (D111/G-patch domain-containing protein) (F8A24.10 protein)
Q8L778	Cell membrane; Multi-pass membrane protein.	TRUE	-1.23	0	0	Cellulose synthase A catalytic subunit 5 [UDP-forming] (AtCesA5) (EC 2.4.1.12)
Q8W0Z1	Unknown		2.47	0	0	AT3g20360/MQC12_11 (TRAF-like family protein)
Q8VY98	Endoplasmic reticulum membrane; Single-pass membrane protein. Membrane; Single-pass membrane protein. Under favorable growth conditions, partially associated with the endoplasmic reticulum (ER) membrane network. Upon exposure to carbon starvation, mainly associated with newly identified spherical compartments that dynamically move along the ER network and reach the lytic vacuole.	TRUE	1.86	0	0	ATG8-interacting protein 2
Q9M339	Unknown		-0.94	0	0	40S ribosomal protein S3-2
F4JL28	Nucleus.		-1.44	0	0	Chromatin remodeling protein EBS (Protein EARLY BOLTING IN SHORT DAYS)
F4JGB4	Endoplasmic reticulum membrane; Multi-pass membrane protein. Membrane; Multi-pass membrane protein.	TRUE	-1.7	0	0	Signal peptidase complex subunit 2
F4I7P0	Unknown		-2.03	0	0	Apoptosis inhibitory protein
P92949	Cell membrane; Multi-pass membrane protein.	TRUE	-1	0	0	Ferric reduction oxidase 2 (AtFRO2) (EC 1.16.1.7) (Ferric-chelate reductase 2) (Protein FERRIC CHELATE REDUCTASE DEFECTIVE 1)
Q9FRS7	Unknown		-1.42	0	0	At1g08580 (F22O13.6)
Q9FUP0	Peroxisome.		2.37	0	0	12-oxophytodienoate reductase 3 (EC 1.3.1.42) (12-oxophytodienoate-10,11-reductase 3) (AtOPR3) (OPDA-reductase 3) (Protein DELAYED DEHISCENCE 1) [Cleaved into: 12-oxophytodienoate reductase 3, N-terminally processed]
P00883	Cytoplasm, myofibril, sarcomere, I band. Cytoplasm, myofibril, sarcomere, M line. In skeletal muscle, accumulates around the M line and within the I band, colocalizing with FBP2 on both sides of the Z line in the absence of Ca(2+).		2.97	0	0	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Muscle-type aldolase)
C0Z2J1	Unknown		-1.79	0	0	AT1G11360 protein (Adenine nucleotide alpha hydrolases-like superfamily protein)
Q8L5Y9	Cytoplasm		0	-2.72	0	Pantothenate kinase 2 (AtPANK2) (Pantothenic acid kinase 2) [Includes: Pantothenate kinase (EC 2.7.1.33); 4'-phosphopantetheine phosphatase (EC 3.1.3.-)]
F4K627	Extracellular		-3.42	0	0	Serine protease inhibitor, potato inhibitor I-type family protein
Q9S9P0	Nucleus.		-2.29	0	0	Sister chromatid cohesion protein PDS5 homolog E (Precocious dissociation of sisters protein 5-E) (AtPDS5E)
Q9FL51	Membrane; Single-pass type I membrane protein.	TRUE	-2.29	0	0	Probably inactive leucine-rich repeat receptor-like protein kinase At5g06940
Q8L7E9	Cell membrane; Single-pass membrane protein.	TRUE	-2.16	0	0	Protein MID1-COMPLEMENTING ACTIVITY 1
Q84TE2	Cytoplasm		-1.3	0	0	At4g33120 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein) (Uncharacterized protein At4g33120)
Q9FE79	Cell membrane; Lipid-anchor; Cytoplasmic side.		-1.05	0	0	Ras-related protein RABA4c (AtRABA4c) (Ras-related protein SMG1)
P0CW98	Membrane; Single-pass membrane protein.	TRUE	3.12	0	0	Protein PLANT CADMIUM RESISTANCE 9 (AtPCR9)
Q9LZX4	Cell membrane; Lipid-anchor, GPI-anchor.		1.91	0	0	Fasciclin-like arabinogalactan protein 10
O80695	Membrane; Multi-pass membrane protein.	TRUE	3.11	0	0	Protein DETOXIFICATION 37 (AtDTX37) (Multidrug and toxic compound extrusion protein 37) (MATE protein 37)
Q9FGT3	Unknown		-2.52	0	0	AT5g58110/k21l19_90 (Chaperone binding / ATPase activator)
O80912	Secreted. Vacuole. Carboxy-terminal extension appears to target the protein to vacuoles.		1.07	0	0	Peroxidase 23 (Atperox P23) (EC 1.11.1.7) (ATP34)
Q9XI91	Cytoplasm		2.49	0	0	Eukaryotic translation initiation factor 5A-1 (AtELF5A-1) (eIF-5A-1)
F4K124	Unknown	TRUE	-2.07	0	0	protein-serine/threonine phosphatase (EC 3.1.3.16)
A0A1P8AYP0	Nucleus, Mitochondrion		-1.1	0	0	Stomatal closure actin-binding-like protein
Q9FZ80	Cytoplasm.		-1.66	0	0	Cytosolic sulfotransferase 17 (AtSOT17) (EC 2.8.2.38) (Desulfoglucosinolate sulfotransferase C) (AtST5c)
Q9M1E4	Unknown		-2.31	0	0	RNA binding (RRM/RBD/RNP motifs) family protein (Uncharacterized protein F9K21.210)
Q9SAH5	Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	2.18	0	0	Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.71) (Phospholipid methyltransferase) (PLMT)
Q945Q1	Extracellular		-1.5	0	0	Cysteine proteinase inhibitor 1 (AtCYS-1)
Q0WKV3	Mitochondrion.		0	-6.64	0	Pentatricopeptide repeat-containing protein At1g12300, mitochondrial
Q9FGK5	Cell membrane; Lipid-anchor; Cytoplasmic side.		-0.84	0	0	Ras-related protein RABA5a (AtRABA5a)
Q9SRT4	Unknown		1.23	0	0	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
Q93VD3	Cell membrane; Peripheral membrane protein. Associated to the plasma membrane when associated with AKT1, CBL1 and CBL9.		-0.74	0	0	CBL-interacting serine/threonine-protein kinase 23 (EC 2.7.11.1) (Protein LOW-K(+)-SENSITIVE 1) (SNF1-related kinase 3.23) (SOS2-like protein kinase PKS17)
Q8LGG0	Cytoplasm.		0	2.29	0	Peptidyl-prolyl cis-trans isomerase FKBP12 (PPIase FKBP12) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FK506-binding protein 12) (AtFKBP12) (FKBP-12) (Immunophilin FKBP12) (Rotamase)
P93043	Nucleus		1.1	0	0	Vacuolar protein sorting-associated protein 41 homolog
O22270	Unknown		-0.99	0	0	AT4G08690 protein (At4g08690) (Putative phosphoglyceride transfer protein) (Sec14p-like phosphatidylinositol transfer family protein)
F4JWY3	Extracellular		1.84	0	0	Myosin heavy chain-related protein
A8MQR2	Nucleus	TRUE	-0.82	0	0	AT3G26440 protein (Transmembrane protein, putative (DUF707))
F4IE17	Secreted, cell wall.		-1.62	0	0	Pectin lyase-like superfamily protein
F4KDD7	Cytoplasm. Nucleus.		-2.78	0	0	KIN17-like protein KLP
F4IIM1	Cell membrane; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus. Endomembrane system. Cytoplasm, cytoskeleton. Undergoes dynamic changes in response to dehydration (PubMed:22427339). Colocalizes with cellulase synthase (CESA) complexes (CSCs) in a dynamic way, both at the plasma membrane and in post-Golgi compartments (PubMed:24368796, PubMed:20616083, PubMed:22294619, PubMed:22190487). Present in distinct punctae at the cell cortex, called microtubule-associated cellulose synthase compartments, that move with constant velocities of 200 to 300 nm/min (PubMed:22294619). Present with cortical microtubule depolymerizing ends (PubMed:22294619, PubMed:22190487).		-0.73	0	0	Protein CELLULOSE SYNTHASE INTERACTIVE 1 (Protein POM-POM 2)
P48623	Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	-1.51	0	0	Acyl-lipid omega-3 desaturase (cytochrome b5), endoplasmic reticulum (EC 1.14.19.25) (Omega-3 fatty acid desaturase 3, endoplasmic reticulum)
Q9C5M8	Extracellular		-1.82	0	0	Probable pectate lyase 18 (EC 4.2.2.2) (Pectate lyase A10)
F4K3X8	Plastid, chloroplast.		1.05	0	0	Kinesin-like protein KIN-7L, chloroplastic
A5PHT0	Membrane; Single-pass type I membrane protein.	TRUE	2.11	0	0	Uncharacterized protein At1g24485 (Arabidopsis thaliana envelope membrane integrase) (Protein ARTEMIS) (Receptor without kinase 1)
A0A1I9LPZ1	Cytoplasm, Chloroplast		1.18	0	0	BAT2_N domain-containing protein
Q94AX4	Mitochondrion.		2.52	0	0	D-lactate dehydrogenase [cytochrome], mitochondrial (AtD-LDH) (EC 1.1.2.4) (D-lactate ferricytochrome C oxidoreductase) (Glycolate dehydrogenase)
O82266	Nucleus, nucleolus. Localized in the nucleolus in interphase cells.		-0.76	0	0	Protein SLOW WALKER 1 (Protein EMBRYO SAC DEVELOPMENT ARREST 13) (Protein EMBRYO SAC DEVELOPMENT ARREST 19)
B9DFU2	Membrane; Single-pass membrane protein.	TRUE	2.31	0	0	Cytochrome P450 711A1 (EC 1.14.-.-) (Protein MORE AXILLARY BRANCHES 1)
Q7G193	Cytoplasm.		0.95	0	0	Indole-3-acetaldehyde oxidase (IAA oxidase) (EC 1.2.3.7) (Aldehyde oxidase 1) (AO-1) (AtAO-1) (AtAO1)
Q7XJN0	Nucleus		0	1.94	0	DEAD-box ATP-dependent RNA helicase 17 (EC 3.6.4.13)
O48520	Nucleus.		-2.69	0	0	DNA polymerase delta small subunit (EC 2.7.7.7)
Q8W4S6	Secreted, extracellular space, apoplast. Secreted, cell wall. Associated to the cell wall.		-1.31	0	0	Beta-fructofuranosidase, insoluble isoenzyme CWINV6 (6 and 1-fructan exohydrolase) (6&1-FEH) (EC 3.2.1.80) (Cell wall beta-fructosidase 6) (Cell wall invertase 6) (AtcwINV6) (Sucrose hydrolase 6)
Q0WVJ5	Extracellular		1.02	0	0	At1g09850 (Papain-like cysteine peptidase XBCP3) (Xylem bark cysteine peptidase 3)
Q8GUQ8	Unknown		0	-1.78	0	Xanthine dehydrogenase 1 (AtXDH1) (EC 1.17.1.4)
F4JUL9	Cytoplasm, cytoskeleton. Cell projection.		1.89	0	0	Actin-related protein 2/3 complex subunit 4 (Actin-related protein C4) (Arp2/3 complex 20 kDa subunit) (p20-ARC)
Q9FPF0	Cytoplasm, cytosol. Nucleus.		0	1.23	0	Protein DJ-1 homolog A (AtDJ1A)
P10798	Plastid, chloroplast.		2.08	0	0	Ribulose bisphosphate carboxylase small subunit 3B, chloroplastic (RuBisCO small subunit 3B)
A0A178VUM7	Cytoplasm.		-0.8	0	0	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M)
O82772	Chloroplast		1.01	0	0	Probable inactive beta-glucosidase 25 (AtBGLU25)
Q9LZQ7	Nucleus		1.59	0	0	At3g62330 (Uncharacterized protein T12C14_30) (Zinc knuckle (CCHC-type) family protein)
Q9FJA6	Unknown		-0.77	0	0	40S ribosomal protein S3-3
Q93YU8	Nucleus.		-1.01	0	0	Nitrate regulatory gene2 protein (NRG2 protein)
Q38856	Cell membrane; Multi-pass membrane protein. Early endosome. Golgi apparatus, trans-Golgi network. Vacuole. Cycles constitutively between early endosomes and the plasma membrane and is targeted to the vacuole for degradation.	TRUE	-1.15	0	0	Fe(2+) transport protein 1 (Fe(II) transport protein 1) (Iron-regulated transporter 1)
Q84K05	Nucleus		-1.69	0	0	Fcf2 pre-rRNA processing protein (Uncharacterized protein At1g54770)
A0A1P8BHH8	Extracellular		1.83	0	0	Subtilase family protein
Q38873	Cell membrane; Lipid-anchor.		1.43	0	0	Calcium-dependent protein kinase 7 (EC 2.7.11.1) (Calmodulin-domain protein kinase CDPK isoform 7)
Q9FMT1	Plastid, chloroplast stroma.		1.04	0	0	3-isopropylmalate dehydrogenase 1, chloroplastic (3-IPM-DH 1) (AtIMDH1) (IMDH 1) (EC 1.1.1.85) (Beta-IPM dehydrogenase 1) (Isopropylmalate dehydrogenase 1) (AtIMD1) (Methylthioalkylmalate dehydrogenase 1)
Q8RVQ9	Chromosome, centromere, kinetochore. Localizes exclusively in the kinetochore domain of centromeres (PubMed:12034896, PubMed:17028205). Localized at centromeres in both mitotic and meiotic cells (PubMed:21695238).		-2.03	0	0	Histone H3-like centromeric protein CENH3 (Centromeric histone CENH3) (Centromeric histone H3) (Histone H3-like centromeric protein HTR12)
Q8L9L9	Unknown		-1.34	0	0	At5g18940 (Mo25 family protein)
Q67Z52	Cytoplasm. Not associated with microtubular arrays.		2.43	0	0	Tubulin-folding cofactor B (AtTFCB) (Protein EMBRYO DEFECTIVE 2804)
Q9SJ81	Cell membrane; Lipid-anchor, GPI-anchor.		-0.86	0	0	Fasciclin-like arabinogalactan protein 7
Q9C512	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	0.99	0	0	Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS1 (AtMANIb) (EC 3.2.1.113) (EC 3.2.1.209) (Alpha-mannosidase IB)
F4JWW6	Cytoplasm		1.32	0	0	HXXXD-type acyl-transferase family protein
Q9FHM5	Nucleus.		2.4	0	0	AT-hook motif nuclear-localized protein 4
O64474	Membrane; Multi-pass membrane protein.	TRUE	1	0	0	Putative cadmium/zinc-transporting ATPase HMA4 (EC 7.2.2.12) (EC 7.2.2.21) (Protein HEAVY METAL ATPASE 4) (Putative cadmium/zinc-transporting ATPase 2)
Q8RWN5	Nucleus.		1.16	0	0	Glycine-rich RNA-binding protein RZ1C (AtRZ-1C)
Q8W0Z9	Nucleus. Cytoplasm.		1.51	0	0	Carbon catabolite repressor protein 4 homolog 1 (CCR4 homolog 1) (EC 3.1.13.4)
Q9LFH5	Cytoplasm		0	-3.66	0	60S ribosomal protein L12-2 (ABI1-binding protein 11)
Q93YQ3	Mitochondrion.		0	6.64	0	Formyltetrahydrofolate deformylase 1, mitochondrial (EC 3.5.1.10)
A0A1I9LTQ6	Mitochondrion, Chloroplast		0	3.51	0	DNA gyrase subunit B (EC 5.6.2.2)
P42645	Cytoplasm. Nucleus. Not associated with microtubules (PubMed:21558460). Translocates from the cytosol to the nucleus when phosphorylated (By similarity).		0.86	0	0	14-3-3-like protein GF14 upsilon (General regulatory factor 5)
A0A1P8B4V5	Membrane; Multi-pass membrane protein.	TRUE	0	-6.64	0	CURVATURE THYLAKOID 1D-like protein
P93313	Mitochondrion inner membrane; Multi-pass membrane protein.	TRUE	-1.13	0	0	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)
F4JIM7	Endoplasmic reticulum membrane; Multi-pass membrane protein. Membrane; Multi-pass membrane protein.	TRUE	0	6.64	0	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Ribophorin-2)
A0A1P8AZV7	Cell membrane; Multi-pass membrane protein. Membrane; Multi-pass membrane protein.		-1.11	0	0	CASP-like protein
F4J7G5	Extracellular		-1.41	0	0	MD-2-related lipid recognition domain-containing protein / ML domain-containing protein
Q5HZ38	Nucleus		-0.9	0	0	Serine/threonine-protein kinase GRIK2 (EC 2.7.11.1) (Protein GEMINIVIRUS REP INTERACTING KINASE 2) (Protein GRIK2) (SnRK1-activating protein kinase 1) (AtSnAK1)
Q0WNC2	Chloroplast	TRUE	-2.63	0	0	Chitinase-like protein (Uncharacterized protein At1g08530)
Q94AD1	Nucleus.		1.21	0	0	Putative DNA-binding protein At1g48610 (AT-hook DNA-binding motif-containing protein At1g48610)
O81472	Nucleus		1.74	0	0	Mitogen-activated protein kinase kinase kinase 9 (MAP kinase kinase kinase 9) (EC 2.7.11.24) (MAPK/ERK kinase kinase 2) (AtMEKK2) (Protein SUPPRESSOR OF MKK1 MKK2 1)
Q941L3	Cell membrane; Lipid-anchor. Calcium enhances the association with membranes.		1.02	0	0	Protein BONZAI 1 (COPINE 1)
F4JMW3	Extracellular	TRUE	1.75	0	0	Root hair specific 16
Q9FF17	Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	0	6.64	0	Probable dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6 homolog) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)
Q9SII6	Cell membrane; Lipid-anchor. Nucleus. Predominantly localized at the plasma membrane.		0	3.49	0	Probable serine/threonine-protein kinase PIX13 (EC 2.7.11.1)
F4HWS5	Nucleus		2.66	0	0	Evolutionarily conserved C-terminal region 7
Q9FV70	Cytoplasm. Interaction with either DPA or DPB are unable to induce a nuclear localization.		0	-6.64	0	Transcription factor E2FC (E2F transcription factor-2) (AtE2F2)
Q8LDQ8	Chloroplast		0.99	0	0	At5g24165 (Uncharacterized protein At5g24165)
Q39100	Extracellular		0	-1.81	0	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (ExtA) (ExtA protein)
Q9SZ21	Unknown		-1.95	0	0	At4g26810 (SWIB/MDM2 domain superfamily protein) (Uncharacterized protein AT4g26810) (Uncharacterized protein F10M23.150)
F4JI14	Nucleus		-1.37	0	0	Cysteine/Histidine-rich C1 domain family protein
F4HV67	Unknown		0	-3.28	0	Oligouridylate-binding protein 1A
Q9SRX5	Extracellular		1.17	0	0	F22D16.19 protein (Uncharacterized protein F22D16.19)
Q1ECK0	Chloroplast	TRUE	0	2.39	0	At1g03730 (Pyrroline-5-carboxylate reductase)
Q9S9Z8	Nucleus. Cytoplasm. Translocates from the cytosol to the nucleus when phosphorylated.		0	6.64	0	14-3-3-like protein GF14 omicron (General regulatory factor 11)
P57751	Cytoplasm.		1.94	0	0	UTP--glucose-1-phosphate uridylyltransferase 1 (EC 2.7.7.9) (UDP-glucose pyrophosphorylase 1) (AtUGP1) (UDPGP 1) (UGPase 1)
Q9SUQ3	Membrane; Single-pass membrane protein.	TRUE	0	-6.64	0	Probable inactive receptor kinase At4g23740
P0CJ46	Cytoplasm, cytoskeleton.		-0.86	0	0	Actin-1 (EC 3.6.4.-)
Q9FGM9	Mitochondrion.		0	6.64	0	23.5 kDa heat shock protein, mitochondrial (AtHsp23.5)
